Listing ID,Title,Price,Location,Rooms,Baths,Size in Meters,Floor,Finish Type,View,Year Built,Payment Method,Seller Type,Developer,Property Link
"25,037 EGP/M²","Apartment for sale, 135 sqm in Al-Asafra Bahri","3,380,000 EGP",El Asafra,3,2,135,2,Super Lux,Commercial Financing,Side Street,2014,Cash,عمر حاتم ظافر,https://aqarmap.com.eg/en/listing/5033861-for-sale-alexandria-el-asafra-l-sfr-bhry-atlas-st/
EG-5029541,Apartments For sale in Al Asafra Qebli,"400,000 EGP",El Asafra,2,1,65,6,Lux,Main Street,2010,Cash,Private Owner,مروان علاء محمد,https://aqarmap.com.eg/en/listing/5029541-for-sale-alexandria-el-asafra-l-sfr-qbly/
EG-5209504,Apartment for sale 120 m Al Asfra (steps to the sea),"2,350,000 EGP",El Asafra,3,1,120,7,Super Lux,Main Street,2014,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5209504-for-sale-alexandria-el-asafra-l-sfr-bhry-atlas-st/
EG-5185691,Residential Apartment for Sale 230 sqm on 45th Main Street – Asafra,"2,500,000 EGP",El Asafra,3,2,230,16,Super Lux,Main Street,2016,Cash,Broker,Makank Real ESTATE,https://aqarmap.com.eg/en/listing/5185691-for-sale-alexandria-el-asafra-shr-45/
EG-5058906,Apartments For sale in Atlas St.,"1,650,000 EGP",El Asafra,2,1,110,13,Super Lux,Side Street,2004,Cash,Broker,Benaya,https://aqarmap.com.eg/en/listing/5058906-for-sale-alexandria-el-asafra-l-sfr-bhry-atlas-st/
EG-5139979,Apartment for sale - Al Asafra - area 190 meters,"3,000,000 EGP",El Asafra,3,2,190,16,Super Lux,Main Street,2018,Cash,Broker,Aura Real Estate,https://aqarmap.com.eg/en/listing/5139979-for-sale-alexandria-el-asafra-shr-jml-bd-lnsr/
EG-5186324,Apartments For sale in Gamal Abdel Nasser St.,"2,200,000 EGP",El Asafra,3,1,150,19,Super Lux,Side Street,2015,Cash,Private Owner,Nourhan fayez,https://aqarmap.com.eg/en/listing/5186324-for-sale-alexandria-el-asafra-shr-jml-bd-lnsr/
EG-5171315,Apartments For sale in El Gaish Road,"3,000,000 EGP",El Asafra,2,2,106,3,Super Lux,Sea View,1998,Cash,Broker,New Home - نيو هوم,https://aqarmap.com.eg/en/listing/5171315-for-sale-alexandria-el-asafra-shr-ljysh/
EG-5139993,Apartment for sale - Street 45 - area 130 full meters,"2,650,000 EGP",El Asafra,3,1,130,2,Super Lux,Other,2015,Cash,Broker,REMAX TOP AGENTS,https://aqarmap.com.eg/en/listing/5139993-for-sale-alexandria-el-asafra-shr-45/
EG-5188455,Apartment for sale 85 m Al Asafra Bahri (45 st),"1,250,000 EGP",El Asafra,2,1,85,18,Super Lux,Other,2012,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5188455-for-sale-alexandria-el-asafra-shr-45/
EG-5205833,Apartments For sale in Atlas St.,"2,600,000 EGP",El Asafra,3,2,130,10,Super Lux,Side Street,2018,Cash,Broker,Benaya,https://aqarmap.com.eg/en/listing/5205833-for-sale-alexandria-el-asafra-l-sfr-bhry-atlas-st/
EG-5042812,Apartments For sale in Street 45,"1,100,000 EGP",El Asafra,2,1,70,12,Super Lux,Side Street,2013,Cash,Private Owner,Adam,https://aqarmap.com.eg/en/listing/5042812-for-sale-alexandria-el-asafra-shr-45/
EG-5189491,Apartments For sale in Gamal Abdel Nasser St.,"2,500,000 EGP",El Asafra,3,1,150,13,Super Lux,Other,2003,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5189491-for-sale-alexandria-el-asafra-shr-jml-bd-lnsr/
EG-4986755,Apartments For sale in Street 45,"700,000 EGP",El Asafra,2,1,80,14,Lux,Side Street,2012,Cash,Private Owner,ريمون باسم,https://aqarmap.com.eg/en/listing/4986755-for-sale-alexandria-el-asafra-shr-45/
EG-5161798,شقة للبيع 125 م العصافرة (خطوات من ش جمال عبد الناصر),"2,350,000 EGP",El Asafra,3,1,125,7,Super Lux,Other,2016,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5161798-for-sale-alexandria-el-asafra-shr-jml-bd-lnsr/
EG-5143982,Apartments For sale in Abd El-Haleem Mahmoud St,"1,750,000 EGP",El Asafra,2,2,95,3,Super Lux,Main Street,1998,Cash,Broker,New Home - نيو هوم,https://aqarmap.com.eg/en/listing/5143982-for-sale-alexandria-el-asafra-abd-el-haleem-mahmoud-st/
