Listing ID,Title,Price,Location,Rooms,Baths,Size in Meters,Floor,Finish Type,View,Year Built,Payment Method,Seller Type,Developer,Property Link
EG-5033752,Apartments For sale in 3agami,"550,000 EGP",El Hanouvel,3,1,120,2,Super Lux,Corner,2044,Cash,Private Owner,Nahla ahmed Abdelaziz,https://aqarmap.com.eg/en/listing/5033752-for-sale-alexandria-el-hanouvel/
EG-4870708,Apartments For sale in El-Zahraa City St,"600,000 EGP",El Hanouvel,2,1,110,6,Super Lux,Side Street,2010,Cash,Private Owner,صابرين حسن خليفة,https://aqarmap.com.eg/en/listing/4870708-for-sale-alexandria-el-hanouvel-el-zahraa-city-st/
EG-4754025,شقه للبيع الهانوفيل,"530,000 EGP",El Hanouvel,3,1,105,6,Super Lux,Side Street,2016,Cash,Private Owner,essam,https://aqarmap.com.eg/en/listing/4754025-for-sale-alexandria-el-hanouvel/
EG-4581538,شقة للبيع تشطيب سوبر لوكس - الهانوفيل - شارع الجمارك - مساحة 155 متر,"1,200,000 EGP",El Hanouvel,3,1,155,4,Super Lux,Sea View,2013,Cash,Private Owner,Bavly Adly,https://aqarmap.com.eg/en/listing/4581538-for-sale-alexandria-el-hanouvel/
EG-5095938,Apartments For sale in Gabir Hafez St,"275,000 EGP",El Hanouvel,2,1,85,7,Lux,Main Street,2010,Cash,Private Owner,ام زياد الوكيل,https://aqarmap.com.eg/en/listing/5095938-for-sale-alexandria-el-hanouvel-gabir-hafez-st/
EG-4027869,Apartments For sale in Al Agamy Al Bahri,"1,700,000 EGP",El Hanouvel,3,2,140,5,Semi Finished,Main Street,2014,Cash,Private Owner,مجدي أيوب,https://aqarmap.com.eg/en/listing/4027869-for-sale-alexandria-el-hanouvel/
EG-4967719,Apartments For sale in El Warsha St.,"320,000 EGP",El Hanouvel,2,1,105,1,Without Finish,Side Street,2010,Cash,Private Owner,عمرو محمد خليل,https://aqarmap.com.eg/en/listing/4967719-for-sale-alexandria-el-hanouvel-el-warsha-st/
"4,700 EGP/M²",Apartments For sale in Rich Home St,"470,000 EGP",El Hanouvel,4,1,100,1,Super Lux,"CBE 3% Initiative, CBE 8% Initiative, Commercial Financing",Side Street,2010,Cash,amr salm,https://aqarmap.com.eg/en/listing/4767615-for-sale-alexandria-el-hanouvel-rich-home-st/
EG-4937527,Apartments For sale in Omar Ibn El-Khattab St,"430,000 EGP",El Hanouvel,2,1,75,6,Super Lux,Other,2000,Cash,Private Owner,رضا رشاد محمد,https://aqarmap.com.eg/en/listing/4937527-for-sale-alexandria-el-hanouvel-omar-ibn-el-khattab-st/
EG-4950477,Apartments For sale in Al Agamy Al Bahri,"1,500,000 EGP",El Hanouvel,3,2,130,2,Extra Super Lux,Main Street,2018,Cash,Private Owner,Ashraf Shaban,https://aqarmap.com.eg/en/listing/4950477-for-sale-alexandria-el-hanouvel/
EG-4851678,Apartments For sale in warshet el Balat,"500,000 EGP",El Hanouvel,2,1,95,7,Lux,Side Street,2010,Cash,Private Owner,سامح,https://aqarmap.com.eg/en/listing/4851678-for-sale-alexandria-el-hanouvel-kasr-al-quiri-st-1/
EG-5009543,,"270,000 EGP",El Hanouvel,2,1,90,5,Lux,Side Street,1990,Cash,Private Owner,,https://aqarmap.com.eg/en/listing/5009543-for-sale-alexandria-el-hanouvel-el-zahraa-city-st/
EG-4966688,Apartments For sale in Omar Ibn El-Khattab St,"395,000 EGP",El Hanouvel,2,1,80,5,Super Lux,Sea View,2019,Cash or Installments,Building Developer,بناء للإسكان وإدارة المشروعات,https://aqarmap.com.eg/en/listing/4966688-for-sale-alexandria-el-hanouvel-omar-ibn-el-khattab-st/
EG-5026757,Apartments For sale in Rich Home St,"450,000 EGP",El Hanouvel,3,1,120,4,Lux,Side Street,2024,Cash,Private Owner,ممدوح محمد فرج,https://aqarmap.com.eg/en/listing/5026757-for-sale-alexandria-el-hanouvel-rich-home-st/
EG-4966933,Apartments For sale in Omar Ibn El-Khattab St,"395,000 EGP",El Hanouvel,2,1,80,5,Super Lux,Sea View,2019,Cash or Installments,Building Developer,بناء للإسكان وإدارة المشروعات,https://aqarmap.com.eg/en/listing/4966933-for-sale-alexandria-el-hanouvel-omar-ibn-el-khattab-st/
EG-5105924,Apartments For sale in El-Taqwa St,"500,000 EGP",El Hanouvel,2,1,115,3,Semi Finished,Side Street,2009,Cash,Private Owner,مايكل ظريف,https://aqarmap.com.eg/en/listing/5105924-for-sale-alexandria-el-hanouvel-el-taqwa-st/
EG-5082720,شقق للبيع فى شارع مدينة الزهراء,"399,000 EGP",El Hanouvel,2,1,115,1,Lux,Garden,1981,Cash,Private Owner,Mariam Demian,https://aqarmap.com.eg/en/listing/5082720-for-sale-alexandria-el-hanouvel-el-zahraa-city-st/
EG-4969515,Apartments For sale in Omar Ibn El-Khattab St,"395,000 EGP",El Hanouvel,2,1,80,6,Super Lux,Sea View,2019,Cash or Installments,Building Developer,بناء للإسكان وإدارة المشروعات,https://aqarmap.com.eg/en/listing/4969515-for-sale-alexandria-el-hanouvel-omar-ibn-el-khattab-st/
EG-5077777,Apartments For sale in Al Agamy Al Qebleyah,"570,000 EGP",El Hanouvel,2,1,75,7,Lux,Main Street,2005,Cash,Broker,ahmed amer,https://aqarmap.com.eg/en/listing/5077777-for-sale-alexandria-el-hanouvel/
EG-4947791,Apartments For sale in Al Haded We Al Soulb St,"450,000 EGP",El Hanouvel,2,1,80,5,Super Lux,Sea View,2024,Cash,Private Owner,محمد عبدالغفار عبدالعزيز,https://aqarmap.com.eg/en/listing/4947791-for-sale-alexandria-el-hanouvel-al-haded-we-al-soulb-st/
EG-5191442,"شقة للبيع في الهانوفيل - مساكن طلعت مصطفى""","170,000 EGP",El Hanouvel,2,1,75,3,Super Lux,Other,2021,Cash,Broker,,https://aqarmap.com.eg/en/listing/5191442-for-sale-alexandria-el-hanouvel/
EG-5189976,شقة لقطه للبيع على شارع الهانوفيل الرئيسي,"950,000 EGP",El Hanouvel,3,1,130,2,Super Lux,Other,2020,Cash,Broker,,https://aqarmap.com.eg/en/listing/5189976-for-sale-alexandria-el-hanouvel/
EG-5190185,شقة للبيع مباشرة من المالك - منطقة أبو يوسف العجمي,"580,000 EGP",El Hanouvel,3,1,115,1,Super Lux,Other,2021,Cash,Broker,,https://aqarmap.com.eg/en/listing/5190185-for-sale-alexandria-el-hanouvel-al-haded-we-al-soulb-st/
