Listing ID,Title,Price,Location,Rooms,Baths,Size in Meters,Floor,Finish Type,View,Year Built,Payment Method,Seller Type,Developer,Property Link
EG-4870059,Apartments For sale in Mohammed Al Eqbal St.,"4,650,000 EGP",Lauran,3,2,170,11,Super Lux,Main Street,2009,Cash,Building Developer,RCR Real State,https://aqarmap.com.eg/en/listing/4870059-for-sale-alexandria-lauran-mohammed-al-eqbal-st/
EG-5195044,Apartments For sale in El-Gaish Rd,"8,000,000 EGP",Lauran,3,3,171,9,Super Lux,Sea View,2004,Cash,Broker,New Home - نيو هوم,https://aqarmap.com.eg/en/listing/5195044-for-sale-alexandria-lauran-el-gaish-rd/
EG-5174428,شقة للبيع 320 م لوران( شارع ابراهيم نصر ),"11,000,000 EGP",Lauran,3,4,320,5,Extra Super Lux,Main Street,2014,Cash,Broker,Coldwell Banker Platinum,https://aqarmap.com.eg/en/listing/5174428-for-sale-alexandria-lauran-ibrahim-naseer-st/
EG-5153561,Apartments For sale in Mohammed Al Eqbal St.,"5,800,000 EGP",Lauran,3,3,215,1,Extra Super Lux,Main Street,2016,Cash,Broker,شركة التميز للتسويق والاستثمار العقاري,https://aqarmap.com.eg/en/listing/5153561-for-sale-alexandria-lauran-mohammed-al-eqbal-st/
EG-5201769,Apartments For sale in Mohammed Al Eqbal St.,"3,400,000 EGP",Lauran,3,2,180,4,Super Lux,Main Street,2012,Cash,Building Developer,sira real estate,https://aqarmap.com.eg/en/listing/5201769-for-sale-alexandria-lauran-mohammed-al-eqbal-st/
EG-5195604,Apartments For sale in Abd El-Salam Aref,"5,500,000 EGP",Lauran,3,2,220,3,Extra Super Lux,Main Street,2020,Cash,Building Developer,sira real estate,https://aqarmap.com.eg/en/listing/5195604-for-sale-alexandria-lauran-bd-lslm-rf/
EG-5196345,Apartments For sale in El-Gaish Rd,"8,000,000 EGP",Lauran,3,3,171,9,Extra Super Lux,Main Street,2008,Cash,Broker,شركة التميز للتسويق والاستثمار العقاري,https://aqarmap.com.eg/en/listing/5196345-for-sale-alexandria-lauran-el-gaish-rd/
EG-4969093,Apartments For sale in Shaarawy St.,"5,500,000 EGP",Lauran,5,2,270,16,Super Lux,Main Street,2014,Cash,Building Developer,sira real estate,https://aqarmap.com.eg/en/listing/4969093-for-sale-alexandria-lauran-shaarawy-st/
EG-5155105,Duplex For sale in El-Gaish Rd,"16,000,000 EGP",Lauran,4,2,330,10,Super Lux,Sea View,2010,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5155105-for-sale-alexandria-lauran-el-gaish-rd/
EG-5184670,Apartments For sale in Mohammed Al Eqbal St.,"3,950,000 EGP",Lauran,4,2,210,6,Lux,Main Street,1970,Cash,Building Developer,sira real estate,https://aqarmap.com.eg/en/listing/5184670-for-sale-alexandria-lauran-mohammed-al-eqbal-st/
