Listing ID,Title,Price,Location,Rooms,Baths,Size in Meters,Floor,Finish Type,View,Year Built,Payment Method,Seller Type,Developer,Property Link
"14,545 EGP/M²","Apartment For sale in Alexandria, Miami","1,600,000 EGP",Miami,2,1,110,5,Lux,"CBE 8% Initiative, Commercial Financing",Sea View,2005,Cash or Installments,Khaled amin,https://aqarmap.com.eg/en/listing/5201038-for-sale-alexandria-miami-mohammed-awad-gebreel-st/
EG-5201704,Apartments For sale in Iskandar Ibrahim St.,"3,000,000 EGP",Miami,3,2,200,15,Super Lux,Sea View,1995,Cash,Building Developer,sira real estate,https://aqarmap.com.eg/en/listing/5201704-for-sale-alexandria-miami-iskandar-ibrahim-st/
EG-5201736,Apartments For sale in Iskandar Ibrahim St.,"4,500,000 EGP",Miami,3,2,150,1,Super Lux,Main Street,2011,Cash,Building Developer,sira real estate,https://aqarmap.com.eg/en/listing/5201736-for-sale-alexandria-miami-iskandar-ibrahim-st/
EG-5201814,Apartments For sale in Gamal Abdel Nasser St.,"3,250,000 EGP",Miami,3,1,125,11,Super Lux,Main Street,2002,Cash,Building Developer,sira real estate,https://aqarmap.com.eg/en/listing/5201814-for-sale-alexandria-miami-shr-jml-bd-lnsr/
EG-5201283,Apartments For sale in El-Gaish Rd St.,"2,900,000 EGP",Miami,3,1,140,15,Super Lux,Sea View,2000,Cash,Private Owner,Sara Rizk,https://aqarmap.com.eg/en/listing/5201283-for-sale-alexandria-miami-el-gaish-rd-st/
EG-5205597,Apartments For sale in El-Gaish Rd St.,"3,050,000 EGP",Miami,5,2,185,4,Extra Super Lux,Sea View,1988,Cash,Broker,New Home - نيو هوم,https://aqarmap.com.eg/en/listing/5205597-for-sale-alexandria-miami-el-gaish-rd-st/
EG-5179067,شقة سوبر لوكس للبيع علي المترو الجديد مباشره في ميامي – تسليم فوري,"2,100,000 EGP",Miami,3,1,100,8,Super Lux,Sea View,2011,Cash,Private Owner,waleed ismail,https://aqarmap.com.eg/en/listing/5179067-for-sale-alexandria-miami-khalf-al-akademaia-st/
EG-5096977,Apartments For sale in Gamal Abdel Nasser St.,"2,500,000 EGP",Miami,2,1,135,7,Lux,Main Street,1990,Cash,Private Owner,Gemy Ahmed,https://aqarmap.com.eg/en/listing/5096977-for-sale-alexandria-miami-shr-jml-bd-lnsr/
EG-4617970,Apartments For sale in Mohammed Ibn Saed St.,"20,000,000 EGP",Miami,3,2,242,10,Extra Super Lux,Sea View,2022,Cash or Installments,Broker,New Avenue,https://aqarmap.com.eg/en/listing/4617970-for-sale-alexandria-miami-mohammed-ibn-saed-st/
EG-5189109,شقة للبيع 125 م ميامي (شارع مصطفي نجيب) بجوار بنك ابركة,"2,400,000 EGP",Miami,2,1,125,9,Super Lux,Main Street,2007,Cash,Broker,Coldwell Banker Platinum,https://aqarmap.com.eg/en/listing/5189109-for-sale-alexandria-miami-iskandar-ibrahim-st/
EG-5072746,Apartments For sale in Street 56,"900,000 EGP",Miami,3,1,80,7,Lux,Side Street,1992,Cash,Private Owner,Safaa,https://aqarmap.com.eg/en/listing/5072746-for-sale-alexandria-miami-street-56/
EG-4766382,Apartments For sale in 1006 St.,"3,200,000 EGP",Miami,3,2,210,5,Lux,Side Street,2008,Cash,Broker,خالد هاشم,https://aqarmap.com.eg/en/listing/4766382-for-sale-alexandria-miami-1006-st/
EG-5159414,Apartments For sale in Iskandar Ibrahim St.,"2,400,000 EGP",Miami,3,1,140,3,Extra Super Lux,Main Street,1990,Cash,Broker,شركة التميز للتسويق والاستثمار العقاري,https://aqarmap.com.eg/en/listing/5159414-for-sale-alexandria-miami-iskandar-ibrahim-st/
EG-5194754,Apartments For sale in Khaled Ibn El Waleed St.,"2,700,000 EGP",Miami,3,2,275,20,Super Lux,Sea View,2010,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5194754-for-sale-alexandria-miami-khld-bn-lwlyd/
EG-5195697,Apartments For sale in Gamal Abdel Nasser St.,"5,250,000 EGP",Miami,3,2,150,1,Super Lux,Sea View,2000,Cash,Building Developer,sira real estate,https://aqarmap.com.eg/en/listing/5195697-for-sale-alexandria-miami-shr-jml-bd-lnsr/
EG-5201633,Apartments For sale in Gamal Abdel Nasser St.,"4,000,000 EGP",Miami,2,2,150,1,Super Lux,Sea View,2003,Cash,Building Developer,sira real estate,https://aqarmap.com.eg/en/listing/5201633-for-sale-alexandria-miami-shr-jml-bd-lnsr/
"10,000 EGP/M²",Apartments For sale in Khalf Al Akademaia St.,"1,700,000 EGP",Miami,3,3,170,12,Extra Super Lux,"CBE 8% Initiative, Commercial Financing",Garden,1995,Cash,mezo_alx,https://aqarmap.com.eg/en/listing/5077991-for-sale-alexandria-miami-khalf-al-akademaia-st/
EG-5165542,apartment for sale - Miami near the Academy - area of 110 full meters,"1,900,000 EGP",Miami,3,1,110,4,Super Lux,Other,2014,Cash,Broker,REMAX TOP AGENTS,https://aqarmap.com.eg/en/listing/5165542-for-sale-alexandria-miami-iskandar-ibrahim-st/
EG-5202853,Apartment for sale 120 m Miami (Abu Al Arab St.),"1,800,000 EGP",Miami,3,1,120,1,Lux,Other,2000,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5202853-for-sale-alexandria-miami-abou-el-arab-st/
EG-5151935,"Apartment for sale in Alexandria Miami, Egypt","2,350,000 EGP",Miami,3,1,130,5,Lux,Main Street,1999,Cash,Private Owner,Peter Badeer,https://aqarmap.com.eg/en/listing/5151935-for-sale-alexandria-miami-shr-jml-bd-lnsr/
EG-4977980,Apartments For sale in Forty Five St,"2,800,000 EGP",Miami,2,2,125,9,Super Lux,Main Street,2020,Cash,Broker,چيران للاستثمار والتطوير العقاري,https://aqarmap.com.eg/en/listing/4977980-for-sale-alexandria-miami-forty-five-st/
EG-4861023,Apartment for sale 100 m in Miami (Steps from Gamal Abdel Nasser Street),"1,750,000 EGP",Miami,2,2,100,14,Lux,Main Street,2014,Cash,Broker,Coldwell Banker Platinum,https://aqarmap.com.eg/en/listing/4861023-for-sale-alexandria-miami-shr-jml-bd-lnsr/
EG-4909569,Apartments For sale in Mahmoud El-Isawy St.,"1,700,000 EGP",Miami,3,1,105,7,Lux,Side Street,2004,Cash,Broker,New Home - نيو هوم,https://aqarmap.com.eg/en/listing/4909569-for-sale-alexandria-miami-mahmoud-el-isawy-st/
EG-5026731,Apartments For sale in Forty Five St,"2,250,000 EGP",Miami,2,1,100,8,Semi Finished,Main Street,2025,Installments,Broker,چيران للاستثمار والتطوير العقاري,https://aqarmap.com.eg/en/listing/5026731-for-sale-alexandria-miami-forty-five-st/
EG-4867794,Apartment for sale 160 m Miami (branched from Eskander Ibrahim st.),"2,250,000 EGP",Miami,3,1,160,7,Super Lux,Other,1988,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/4867794-for-sale-alexandria-miami-ahmed-abd-el-latif-st/
EG-5155115,Apartments For sale in Forty Five St,"2,400,000 EGP",Miami,4,1,140,3,Super Lux,Main Street,1999,Cash,Broker,investa realestat,https://aqarmap.com.eg/en/listing/5155115-for-sale-alexandria-miami-forty-five-st/
EG-4786114,Apartments For sale in El-Gaish Rd St.,"6,000,000 EGP",Miami,4,3,250,4,Super Lux,Side Street,2000,Cash,Building Developer,شقتى للتسويق العقارى,https://aqarmap.com.eg/en/listing/4786114-for-sale-alexandria-miami-el-gaish-rd-st/
EG-4791879,Apartment for sale - Miami - area 280 full meters,"2,500,000 EGP",Miami,3,2,280,9,Super Lux,Other,1997,Cash,Broker,REMAX TOP AGENTS,https://aqarmap.com.eg/en/listing/4791879-for-sale-alexandria-miami-khld-bn-lwlyd/
EG-4899537,Apartments For sale in El-Gaish Rd St.,"4,800,000 EGP",Miami,3,2,230,1,Super Lux,Corner,2006,Cash,Broker,New Home - نيو هوم,https://aqarmap.com.eg/en/listing/4899537-for-sale-alexandria-miami-el-gaish-rd-st/
EG-4819243,Apartment for sale 90 m Miami (steps from the sea),"1,650,000 EGP",Miami,3,1,90,12,Super Lux,Other,2001,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/4819243-for-sale-alexandria-miami-abou-el-arab-st/
EG-4950814,Apartment for sale - Gamal Abdel Nasser - area of 165 full meters,"2,550,000 EGP",Miami,3,2,165,8,Extra Super Lux,Other,1997,Cash,Broker,REMAX TOP AGENTS,https://aqarmap.com.eg/en/listing/4950814-for-sale-alexandria-miami-shr-jml-bd-lnsr/
EG-4954927,Apartment for sale - Gamal Abdel Nasser - area of 165 full meters,"2,550,000 EGP",Miami,3,2,165,8,Super Lux,Other,1999,Cash,Broker,REMAX TOP AGENTS,https://aqarmap.com.eg/en/listing/4954927-for-sale-alexandria-miami-shr-jml-bd-lnsr/
EG-4984560,Apartments For sale in Khaled Ibn El Waleed St.,"1,600,000 EGP",Miami,2,1,90,18,Lux,Sea View,2005,Cash,Broker,New Home - نيو هوم,https://aqarmap.com.eg/en/listing/4984560-for-sale-alexandria-miami-khld-bn-lwlyd/
EG-4766056,Apartments For sale in Iskandar Ibrahim St.,"2,300,000 EGP",Miami,3,2,140,16,Extra Super Lux,Main Street,2000,Cash,Broker,REMAX performance,https://aqarmap.com.eg/en/listing/4766056-for-sale-alexandria-miami-iskandar-ibrahim-st/
EG-4867439,شقة للبيع 130 م ميامي (شارع إسكندر إبراهيم),"2,500,000 EGP",Miami,2,1,130,3,Super Lux,Main Street,1990,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/4867439-for-sale-alexandria-miami-iskandar-ibrahim-st/
EG-4864350,Apartments For sale in Mahmoud El-Isawy St.,"2,800,000 EGP",Miami,3,1,135,12,Super Lux,Main Street,2006,Cash,Broker,New Home - نيو هوم,https://aqarmap.com.eg/en/listing/4864350-for-sale-alexandria-miami-mahmoud-el-isawy-st/
EG-5022214,Apartments For sale in El-Gaish Rd St.,"3,500,000 EGP",Miami,3,2,185,4,Super Lux,Sea View,2011,Cash,Broker,شركة التميز للتسويق والاستثمار العقاري,https://aqarmap.com.eg/en/listing/5022214-for-sale-alexandria-miami-el-gaish-rd-st/
