Listing ID,Title,Price,Location,Rooms,Baths,Size in Meters,Floor,Finish Type,View,Year Built,Payment Method,Seller Type,Developer,Property Link
EG-4962906,شقه علي شارع مستشفى الايطالي الرئيسي,"1,500,000 EGP",Moharram Bek,4,1,75,Ground,Lux,Main Street,1980,Cash,Private Owner,Mohamed,https://aqarmap.com.eg/en/listing/4962906-for-sale-alexandria-moharram-bey-emberouz/
EG-5119731,Apartments For sale in Moharram Bek St,"2,200,000 EGP",Moharram Bek,3,1,140,1,Super Lux,Side Street,2006,Cash,Broker,New Home - نيو هوم,https://aqarmap.com.eg/en/listing/5119731-for-sale-alexandria-moharram-bey-moharram-bek-st/
EG-5055978,Apartments For sale in El-Rasafa St,"2,300,000 EGP",Moharram Bek,3,2,110,10,Extra Super Lux,Main Street,2006,Cash,Broker,New Home - نيو هوم,https://aqarmap.com.eg/en/listing/5055978-for-sale-alexandria-moharram-bey-el-rasafa-st/
EG-5141629,Apartment for Sale from Owner,"1,200,000 EGP",Moharram Bek,2,1,75,8,Super Lux,Side Street,1996,Cash,Private Owner,Omar Yassin,https://aqarmap.com.eg/en/listing/5141629-for-sale-alexandria-moharram-bey-shr-jll-ldswqy/
EG-5170382,Apartments For sale in El-Rasafa St,"1,550,000 EGP",Moharram Bek,3,1,130,1,Extra Super Lux,Main Street,1970,Cash,Private Owner,AOWS Realestate,https://aqarmap.com.eg/en/listing/5170382-for-sale-alexandria-moharram-bey-el-rasafa-st/
EG-5036426,Apartments For sale in Pawalino,"3,550,000 EGP",Moharram Bek,3,2,210,4,Super Lux,Main Street,2000,Cash,Broker,New Home - نيو هوم,https://aqarmap.com.eg/en/listing/5036426-for-sale-alexandria-moharram-bey-bwlynw/
EG-5132505,Apartments For sale in El-Rasafa St,"2,000,000 EGP",Moharram Bek,3,2,130,8,Super Lux,Main Street,2008,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5132505-for-sale-alexandria-moharram-bey-el-rasafa-st/
EG-4279889,,"550,000 EGP",Moharram Bek,2,1,95,5,Super Lux,Side Street,2009,Cash,Private Owner,,https://aqarmap.com.eg/en/listing/4279889-for-sale-alexandria-moharram-bey-bwlynw/
EG-5092679,Apartment for sale 107 m Moharam Bek (Moharam Pasha neighborhood),"2,700,000 EGP",Moharram Bek,2,1,107,4,Super Lux,Other,2000,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5092679-for-sale-alexandria-moharram-bey-tryq-qn-lswys/
EG-5152672,Apartments For sale in El-Rasafa St,"2,150,000 EGP",Moharram Bek,3,1,100,6,Lux,Main Street,2015,Cash,Broker,Benaya,https://aqarmap.com.eg/en/listing/5152672-for-sale-alexandria-moharram-bey-el-rasafa-st/
EG-5181330,Full Floor For sale in Moharram Bek St,"1,300,000 EGP",Moharram Bek,3,2,140,3,Super Lux,Main Street,1900,Cash,Private Owner,Amr,https://aqarmap.com.eg/en/listing/5181330-for-sale-alexandria-moharram-bey-moharram-bek-st/
