Listing ID,Title,Price,Location,Rooms,Baths,Size in Meters,Floor,Finish Type,View,Year Built,Payment Method,Seller Type,Developer,Property Link
EG-5148540,شقة للبيع 235 م سابا باشا (امام قصر الميرغني),"8,100,000 EGP",Saba Basha,3,3,235,6,Super Lux,Other,2018,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5148540-for-sale-alexandria-saba-basha/
EG-5204192,Apartments For sale in Abd El-Salam Aref St,"9,900,000 EGP",Saba Basha,4,2,220,7,Extra Super Lux,Main Street,2024,Installments,Broker,The gate real estate,https://aqarmap.com.eg/en/listing/5204192-for-sale-alexandria-saba-basha-abd-el-salam-aref-st/
EG-5066873,Apartment for sale 210m Fleming (Steps from Abu Qir Street),"5,500,000 EGP",Saba Basha,3,3,210,14,Super Lux,Side Street,2016,Cash,Broker,Coldwell Banker Platinum,https://aqarmap.com.eg/en/listing/5066873-for-sale-alexandria-saba-basha/
EG-5170847,Apartment for sale 140m Saba Pasha (view of Al-Mirghani Palace and the Russian Consulate),"4,600,000 EGP",Saba Basha,3,2,140,5,Super Lux,Main Street,1995,Cash,Broker,Coldwell Banker Platinum,https://aqarmap.com.eg/en/listing/5170847-for-sale-alexandria-saba-basha-abd-al-monsef-ghazi-st/
EG-5000241,Apartment for sale 220 m Saba Pasha (in front of Al-Marghani Palace),"7,800,000 EGP",Saba Basha,3,3,220,3,Super Lux,Other,2014,Cash,Broker,Coldwell Banker Platinum,https://aqarmap.com.eg/en/listing/5000241-for-sale-alexandria-saba-basha-abd-al-monsef-ghazi-st/
EG-5156103,Apartments For sale in Abou Quer St - El Horeya Rd,"5,500,000 EGP",Saba Basha,3,3,210,14,Super Lux,Main Street,2016,Cash,Broker,Makank Real ESTATE,https://aqarmap.com.eg/en/listing/5156103-for-sale-alexandria-saba-basha-shr-bw-qyr-tryq-lhry/
EG-5177511,Apartment for sale 210 m Saba Pasha (steps from Abu Qir Street),"5,500,000 EGP",Saba Basha,4,3,210,14,Super Lux,Other,2016,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5177511-for-sale-alexandria-saba-basha-shr-bw-qyr-tryq-lhry/
EG-5146824,Apartment for Sale in Saba Pacha - Open Views,"9,000,000 EGP",Saba Basha,3,3,202,7,Super Lux,Main Street,2017,Cash,Broker,Iproperty,https://aqarmap.com.eg/en/listing/5146824-for-sale-alexandria-saba-basha-ghazh-st/
EG-5170799,Apartments For sale in Batlemos Al Falki St,"4,000,000 EGP",Saba Basha,1,1,70,2,Extra Super Lux,Sea View,1995,Cash,Building Developer,RCR Real State,https://aqarmap.com.eg/en/listing/5170799-for-sale-alexandria-saba-basha-batlemos-al-falki-st/
EG-5094519,Licensed apartment for sale 220 m Saba Basha (Infront of Elmarghany palace),"7,250,000 EGP",Saba Basha,3,3,220,4,Super Lux,Garden,2012,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5094519-for-sale-alexandria-saba-basha-abd-al-monsef-ghazi-st/
EG-5123861,Apartment for sale 130 m Saba Pasha (steps from Abou Qir St. and tram),"2,850,000 EGP",Saba Basha,3,1,130,3,Super Lux,Other,2000,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5123861-for-sale-alexandria-saba-basha-shr-bw-qyr-tryq-lhry/
EG-5157645,Duplex for sale - Saba Pasha - area 500 full meters,"12,000,000 EGP",Saba Basha,3,3,500,13,Super Lux,Other,2000,Cash,Broker,REMAX TOP AGENTS,https://aqarmap.com.eg/en/listing/5157645-for-sale-alexandria-saba-basha-tryq-ljysh/
EG-4976485,Apartments For sale in Khalf No 29 St,"2,800,000 EGP",Saba Basha,2,1,100,2,Super Lux,Main Street,2009,Cash,Building Developer,RCR Real State,https://aqarmap.com.eg/en/listing/4976485-for-sale-alexandria-saba-basha-khalf-no-29-st/
EG-5165364,شقة للبيع 218 م سابا باشا (ش أبو قير - عمارة براند),"5,800,000 EGP",Saba Basha,3,3,218,4,Super Lux,Main Street,2016,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5165364-for-sale-alexandria-saba-basha-shr-bw-qyr-tryq-lhry/
