Listing ID,Title,Price,Location,Rooms,Baths,Size in Meters,Floor,Finish Type,View,Year Built,Payment Method,Seller Type,Developer,Property Link
EG-5131928,Apartment for Sale in San Stefano - 1st Row Sea,"46,000,000 EGP",San Stefano,7,5,600,14,Extra Super Lux,Sea View,2011,Cash,Broker,Iproperty,https://aqarmap.com.eg/en/listing/5131928-for-sale-alexandria-sn-styfnw-al-kazeno-st/
EG-5199716,Apartment for sale 220 m San Stefano (Ahmed Adham Street),"9,000,000 EGP",San Stefano,3,3,220,3,Super Lux,Main Street,2005,Cash,Broker,Coldwell Banker Platinum,https://aqarmap.com.eg/en/listing/5199716-for-sale-alexandria-sn-styfnw-ahmed-mohammed-al-adham-st/
EG-5176270,Apartments For sale in Abd El-Salam Aref St.,"4,500,000 EGP",San Stefano,2,2,145,12,Extra Super Lux,Main Street,2014,Cash,Broker,شركة التميز للتسويق والاستثمار العقاري,https://aqarmap.com.eg/en/listing/5176270-for-sale-alexandria-sn-styfnw-abd-el-salam-aref-st/
EG-5123410,Apartment for sale 298m San Stefano (Four Seasons),"25,000,000 EGP",San Stefano,4,4,298,6,Lux,Sea View,2009,Cash,Broker,Coldwell Banker Platinum,https://aqarmap.com.eg/en/listing/5123410-for-sale-alexandria-sn-styfnw-mahmoud-farghaly-st/
EG-5205767,Apartments For sale in Mohandes Hamed Al Kholi St.,"4,500,000 EGP",San Stefano,3,2,140,12,Super Lux,Side Street,2012,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5205767-for-sale-alexandria-sn-styfnw-mohandes-hamed-al-kholi-st/
EG-5118124,Apartments For sale in Aziz Kheil St.,"5,100,000 EGP",San Stefano,3,2,165,4,Super Lux,Other,2016,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5118124-for-sale-alexandria-sn-styfnw-aziz-kheil-st/
EG-5158857,Apartment for sale 220 m San Stefano (Ahmed Adham Street),"9,000,000 EGP",San Stefano,3,3,220,3,Super Lux,Main Street,2005,Cash,Broker,Coldwell Banker Platinum,https://aqarmap.com.eg/en/listing/5158857-for-sale-alexandria-sn-styfnw-ahmed-mohammed-al-adham-st/
EG-5184933,Apartments For sale in Abd El-Salam Aref St.,"3,700,000 EGP",San Stefano,3,1,130,2,Super Lux,Main Street,1987,Cash,Building Developer,sira real estate,https://aqarmap.com.eg/en/listing/5184933-for-sale-alexandria-sn-styfnw-abd-el-salam-aref-st/
EG-5203179,Apartment for sale 145m San Stefano (between the tram and the sea),"4,600,000 EGP",San Stefano,3,2,145,12,Super Lux,Main Street,2014,Cash,Broker,Coldwell Banker Platinum,https://aqarmap.com.eg/en/listing/5203179-for-sale-alexandria-sn-styfnw-mohandes-hamed-al-kholi-st/
EG-5190325,Apartments For sale in Abd El-Hameed El-Deeb St.,"4,500,000 EGP",San Stefano,3,2,150,4,Super Lux,Main Street,1900,Cash,Private Owner,Sara Ahmed,https://aqarmap.com.eg/en/listing/5190325-for-sale-alexandria-sn-styfnw-abd-el-hameed-el-deeb-st/
