Listing ID,Title,Price,Location,Rooms,Baths,Size in Meters,Floor,Finish Type,View,Year Built,Payment Method,Seller Type,Developer,Property Link
EG-3694848,For sale - Apartments 146 M² Extra super lux in Park Plaza - Mimary,"6,570,000 EGP",Smouha,3,2,146,13,Extra Super Lux,Side Street,2021,Installments,Broker,مجموعة شركات المعمارى للاستثمار العقارى والسياحى,https://aqarmap.com.eg/en/listing/3694848-for-sale-alexandria-smouha-compounds-in-smouha-park-plaza-mimary/
EG-4930363,Apartments For sale in Park Plaza Compound - Mimary,"6,857,865 EGP",Smouha,3,5,158,5,Extra Super Lux,,2023,Installments,Broker,مجموعة شركات المعماري للاستثمار العقاري والسياحي,https://aqarmap.com.eg/en/listing/4930363-for-sale-alexandria-smouha-compounds-in-smouha-park-plaza-mimary/
EG-4936137,Apartments For sale in Park Plaza Compound - Mimary,"7,267,570 EGP",Smouha,3,2,176,5,Super Lux,,2022,Installments,Broker,مجموعة شركات المعماري للاستثمار العقاري والسياحي,https://aqarmap.com.eg/en/listing/4936137-for-sale-alexandria-smouha-compounds-in-smouha-park-plaza-mimary/
EG-4973487,Apartments For sale in Park Plaza Compound - Mimary,"9,400,000 EGP",Smouha,3,3,200,5,Super Lux,,2027,Installments,Broker,مجموعة شركات المعماري للاستثمار العقاري والسياحي,https://aqarmap.com.eg/en/listing/4973487-for-sale-alexandria-smouha-compounds-in-smouha-park-plaza-mimary/
EG-4960919,Apartments For sale in Park Plaza Compound - Mimary,"12,687,783 EGP",Smouha,4,3,226,5,Extra Super Lux,,2022,Installments,Broker,مجموعة شركات المعماري للاستثمار العقاري والسياحي,https://aqarmap.com.eg/en/listing/4960919-for-sale-alexandria-smouha-compounds-in-smouha-park-plaza-mimary/
EG-4973495,Apartments For sale in Park Plaza Compound - Mimary,"8,648,000 EGP",Smouha,4,3,188,5,Extra Super Lux,,2027,Installments,Broker,مجموعة شركات المعماري للاستثمار العقاري والسياحي,https://aqarmap.com.eg/en/listing/4973495-for-sale-alexandria-smouha-compounds-in-smouha-park-plaza-mimary/
EG-4820394,Apartments For sale in Park Plaza Compound - Mimary,"8,954,256 EGP",Smouha,4,3,198,11,Extra Super Lux,,2021,Installments,Broker,مجموعة شركات المعماري للاستثمار العقاري والسياحي,https://aqarmap.com.eg/en/listing/4820394-for-sale-alexandria-smouha-compounds-in-smouha-park-plaza-mimary/
EG-4973388,Apartments For sale in Park Plaza Compound - Mimary,"8,415,000 EGP",Smouha,3,2,187,Ground,Super Lux,,2027,Installments,Broker,مجموعة شركات المعماري للاستثمار العقاري والسياحي,https://aqarmap.com.eg/en/listing/4973388-for-sale-alexandria-smouha-compounds-in-smouha-park-plaza-mimary/
EG-4973396,Apartments For sale in Park Plaza Compound - Mimary,"12,701,200 EGP",Smouha,4,3,226,3,Super Lux,,2027,Installments,Broker,مجموعة شركات المعماري للاستثمار العقاري والسياحي,https://aqarmap.com.eg/en/listing/4973396-for-sale-alexandria-smouha-compounds-in-smouha-park-plaza-mimary/
EG-5155175,Apartments For sale in Park Plaza Compound - Mimary,"6,288,000 EGP",Smouha,3,2,131,11,Super Lux,,2027,Installments,Broker,مجموعة شركات المعماري للاستثمار العقاري والسياحي,https://aqarmap.com.eg/en/listing/5155175-for-sale-alexandria-smouha-compounds-in-smouha-park-plaza-mimary/
EG-4971206,Apartments For sale in Park Plaza Compound - Mimary,"8,415,000 EGP",Smouha,3,2,176,1,Super Lux,,2027,Installments,Broker,مجموعة شركات المعماري للاستثمار العقاري والسياحي,https://aqarmap.com.eg/en/listing/4971206-for-sale-alexandria-smouha-Muruj/
