Listing ID,Title,Price,Location,Rooms,Baths,Size in Meters,Floor,Finish Type,View,Year Built,Payment Method,Seller Type,Developer,Property Link
EG-5185429,Apartment for sale 235 m Stanley (directly on the sea - Brand Building),"25,000,000 EGP",Stanley,2,2,235,15,Extra Super Lux,Sea View,2012,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5185429-for-sale-alexandria-stanley-abd-el-aziz-fahmy-st/
EG-4958417,شقة للبيع 188م ستانلي (تري البحر جانبي),"6,000,000 EGP",Stanley,3,3,188,4,Super Lux,Main Street,2018,Cash,Building Developer,شقتى للتسويق العقارى,https://aqarmap.com.eg/en/listing/4958417-for-sale-alexandria-stanley-abd-el-aziz-fahmy-st/
EG-5113562,Duplex apartment for sale 300 M- Stanley - Steps from the sea,"8,000,000 EGP",Stanley,5,3,300,3,Super Lux,Sea View,2004,Cash,Broker,Benaya,https://aqarmap.com.eg/en/listing/5113562-for-sale-alexandria-stanley-abd-el-aziz-fahmy-st/
EG-4878552,Apartment for sale - Stanley - area 185 meters,"7,500,000 EGP",Stanley,3,3,185,5,Super Lux,Main Street,2004,Cash,Broker,Aura Real Estate,https://aqarmap.com.eg/en/listing/4878552-for-sale-alexandria-stanley-abd-el-aziz-fahmy-st/
EG-4954847,Apartments For sale in Abd El Aziz Fahmy St.,"2,500,000 EGP",Stanley,2,1,110,Ground,Super Lux,Other,2010,Cash,Broker,REMAX TOP AGENTS,https://aqarmap.com.eg/en/listing/4954847-for-sale-alexandria-stanley-abd-el-aziz-fahmy-st/
EG-5094357,Apartment for sale 150 M- Stanley,"3,500,000 EGP",Stanley,3,1,150,10,Super Lux,Side Street,1989,Cash,Broker,Benaya,https://aqarmap.com.eg/en/listing/5094357-for-sale-alexandria-stanley/
EG-5148813,Apartments For sale in Abd El Aziz Fahmy St.,"3,700,000 EGP",Stanley,3,1,105,3,Extra Super Lux,Main Street,2015,Cash,Broker,شركة التميز للتسويق والاستثمار العقاري,https://aqarmap.com.eg/en/listing/5148813-for-sale-alexandria-stanley-abd-el-aziz-fahmy-st/
EG-5040772,شقة للبيع 230 م ستانلي (ش أحمد يوسف - فيو بحر) - اول سكن,"6,250,000 EGP",Stanley,4,2,230,14,Super Lux,Other,2012,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5040772-for-sale-alexandria-stanley/
EG-5184938,Apartment for sale 250 m Stanley (Abdel Aziz Fahmy),"7,500,000 EGP",Stanley,3,2,250,11,Extra Super Lux,Sea View,1989,Cash,Broker,Coldwell Banker Platinum,https://aqarmap.com.eg/en/listing/5184938-for-sale-alexandria-stanley-abd-el-aziz-fahmy-st/
EG-5120989,شقة للبيع 550 م ستانلي (قمراية رشدي ),"20,000,000 EGP",Stanley,6,5,550,10,Super Lux,Sea View,2010,Cash,Broker,Coldwell Banker Platinum,https://aqarmap.com.eg/en/listing/5120989-for-sale-alexandria-stanley/
,Apartments For sale in Abd El Aziz Fahmy St.,"9,000,000 EGP",Stanley,4,2,280,13,Super Lux,2003,,Building Developer,"32,143 EGP/M²",RCR Real State,https://aqarmap.com.eg/en/listing/5139938-for-sale-alexandria-stanley-abd-el-aziz-fahmy-st/
EG-4953153,Apartment for sale 185m Stanley,"7,600,000 EGP",Stanley,3,3,185,5,Extra Super Lux,Main Street,2005,Cash,Broker,Coldwell Banker Platinum,https://aqarmap.com.eg/en/listing/4953153-for-sale-alexandria-stanley-abd-el-aziz-fahmy-st/
EG-5199715,شقة للبيع 180م ثاني نمرة من البحر – ستانلي,"5,200,000 EGP",Stanley,4,3,180,9,Super Lux,Sea View,2017,Cash,Broker,Makank Real ESTATE,https://aqarmap.com.eg/en/listing/5199715-for-sale-alexandria-stanley/
EG-4966638,"Apartment for sale 225 m Stanley (Steps from the sea - Stanley Towers) - 9,000,000 EGP","9,000,000 EGP",Stanley,3,3,225,5,Extra Super Lux,Other,2015,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/4966638-for-sale-alexandria-stanley-abd-el-aziz-fahmy-st/
EG-5009698,Apartments For sale in Abd El Aziz Fahmy St.,"4,500,000 EGP",Stanley,3,1,110,12,Super Lux,Main Street,2014,Cash,Broker,شركة التميز للتسويق والاستثمار العقاري,https://aqarmap.com.eg/en/listing/5009698-for-sale-alexandria-stanley-abd-el-aziz-fahmy-st/
EG-4941199,"Apartment for sale, 157 m, Stanley (Jaber Abdel Muti Al-Ghazali Street)","5,500,000 EGP",Stanley,3,2,157,7,Super Lux,Sea View,1999,Cash,Broker,Coldwell Banker Platinum,https://aqarmap.com.eg/en/listing/4941199-for-sale-alexandria-stanley/
EG-5143389,Apartment for sale 320 m Stanley (double view sea - in front of Sebahi Palace),"17,000,000 EGP",Stanley,4,2,320,4,Super Lux,Other,2007,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5143389-for-sale-alexandria-stanley-abd-el-aziz-fahmy-st/
EG-5026512,Apartment for sale 185m Stanley,"7,200,000 EGP",Stanley,3,3,185,5,Super Lux,Main Street,2005,Cash,Broker,Coldwell Banker Platinum,https://aqarmap.com.eg/en/listing/5026512-for-sale-alexandria-stanley-abd-el-aziz-fahmy-st/
EG-5156183,وحدة سكنية 250م للبيع ستانلي - خطوات من البحر بفيو مباشر على البحر,"8,000,000 EGP",Stanley,3,2,250,11,Super Lux,Sea View,1999,Cash,Broker,Makank Real ESTATE,https://aqarmap.com.eg/en/listing/5156183-for-sale-alexandria-stanley-abd-el-aziz-fahmy-st/
EG-5205564,Apartment for sale 220 m Stanly (Stanly towers - steps from the sea),"8,350,000 EGP",Stanley,3,3,220,10,Lux,Other,2015,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5205564-for-sale-alexandria-stanley-abd-el-aziz-fahmy-st/
EG-4930790,شقة للبيع 150 م ستانلي (ش عبد الحميد العبادي),"3,700,000 EGP",Stanley,3,2,150,7,Super Lux,Other,1990,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/4930790-for-sale-alexandria-stanley/
EG-4839897,Apartments For sale in Abd El Aziz Fahmy St.,"5,200,000 EGP",Stanley,3,3,225,16,Super Lux,Main Street,2013,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/4839897-for-sale-alexandria-stanley-abd-el-aziz-fahmy-st/
EG-5030133,Apartments For sale in Abd El Aziz Fahmy St.,"6,900,000 EGP",Stanley,4,3,200,10,Extra Super Lux,Main Street,2014,Cash,Broker,شركة التميز للتسويق والاستثمار العقاري,https://aqarmap.com.eg/en/listing/5030133-for-sale-alexandria-stanley-abd-el-aziz-fahmy-st/
EG-4844462,Apartment for sale 120 m Stanly (directly on the sea),"4,500,000 EGP",Stanley,2,2,120,11,Super Lux,Sea View,1990,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/4844462-for-sale-alexandria-stanley-abd-el-aziz-fahmy-st/
EG-4951338,Apartment for sale - Stanley - 110 full meters,"2,500,000 EGP",Stanley,2,1,110,Ground,Lux,Other,2010,Cash,Broker,REMAX TOP AGENTS,https://aqarmap.com.eg/en/listing/4951338-for-sale-alexandria-stanley-abd-el-aziz-fahmy-st/
EG-4939921,Apartment for sale - Stanley - 110 full meters,"2,500,000 EGP",Stanley,2,1,110,Ground,Lux,Other,2000,Cash,Broker,REMAX TOP AGENTS,https://aqarmap.com.eg/en/listing/4939921-for-sale-alexandria-stanley-abd-el-aziz-fahmy-st/
EG-4969135,Apartments For sale in Abd El Aziz Fahmy St.,"4,500,000 EGP",Stanley,3,1,110,12,Super Lux,Sea View,2014,Cash,Building Developer,sira real estate,https://aqarmap.com.eg/en/listing/4969135-for-sale-alexandria-stanley-abd-el-aziz-fahmy-st/
EG-4768001,Apartments For sale in Abd El Aziz Fahmy St.,"8,100,000 EGP",Stanley,5,2,280,12,Super Lux,Main Street,2000,Cash,Building Developer,شقتى للتسويق العقارى,https://aqarmap.com.eg/en/listing/4768001-for-sale-alexandria-stanley-abd-el-aziz-fahmy-st/
EG-4735087,"Apartment for sale, 620m, Stanley (Abdel Aziz Fahmy Street)","13,200,000 EGP",Stanley,5,3,620,13,Extra Super Lux,Main Street,2005,Cash,Broker,Coldwell Banker Platinum,https://aqarmap.com.eg/en/listing/4735087-for-sale-alexandria-stanley-abd-el-aziz-fahmy-st/
EG-4766835,"Apartment for sale, 280 m, Stanley (Abdel Aziz Fahmy Street)","8,500,000 EGP",Stanley,5,2,280,12,Super Lux,Sea View,2006,Cash,Broker,Coldwell Banker Platinum,https://aqarmap.com.eg/en/listing/4766835-for-sale-abd-el-aziz-fahmy-st/
EG-4731013,Apartments For sale in Abd El Aziz Fahmy St.,"2,250,000 EGP",Stanley,1,1,120,Ground,Super Lux,Other,2000,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/4731013-for-sale-abd-el-aziz-fahmy-st/
EG-4896300,Apartments For sale in Abd El Aziz Fahmy St.,"6,000,000 EGP",Stanley,3,2,170,7,Super Lux,Side Street,2006,Cash,Broker,Benaya,https://aqarmap.com.eg/en/listing/4896300-for-sale-alexandria-stanley-abd-el-aziz-fahmy-st/
EG-4951804,Apartments For sale in Abd El Aziz Fahmy St.,"7,500,000 EGP",Stanley,4,2,200,11,Super Lux,Other,2004,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/4951804-for-sale-alexandria-stanley-abd-el-aziz-fahmy-st/
EG-4760646,شقة للبيع 320 م ستانلي (شارع شهدى باشا),"15,000,000 EGP",Stanley,3,3,320,15,Extra Super Lux,Sea View,2016,Cash,Broker,Coldwell Banker Platinum,https://aqarmap.com.eg/en/listing/4760646-for-sale-alexandria-stanley/
