Listing ID,Title,Price,Location,Rooms,Baths,Size in Meters,Floor,Finish Type,View,Year Built,Payment Method,Seller Type,Developer,Property Link
EG-4814217,Apartments For sale in Sutar St.,"12,053,686 EGP",El Chatby,3,3,210,11,Semi Finished,Side Street,2024,Cash,Building Developer,شقتى للتسويق العقارى,https://aqarmap.com.eg/en/listing/4814217-for-sale-alexandria-el-chatby-sutar-st/
EG-5200073,Apartments For sale in Port Said Street,"5,000,000 EGP",El Chatby,3,1,165,8,Super Lux,Main Street,2004,Cash,Broker,New Home - نيو هوم,https://aqarmap.com.eg/en/listing/5200073-for-sale-alexandria-el-chatby-port-said-street/
EG-4997721,شقه للبيع 125 متر فى الشاطبى شارع بورسعيد مباشرتا قريبه من كليه سان مارك البلكو,"4,700,000 EGP",El Chatby,3,1,125,6,Super Lux,Other,2007,Cash,Broker,,https://aqarmap.com.eg/en/listing/4997721-for-sale-alexandria-el-chatby-port-said-street/
EG-4951863,Apartment for sale 192 m Al Shatby (Steps from the sea),"7,500,000 EGP",El Chatby,3,2,192,3,Super Lux,Other,2015,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/4951863-for-sale-alexandria-el-chatby-mohammed-shafek-ghrbal-st/
EG-5075467,شقه للبيع بالاسكندريه الشاطبى عند سان مارك,"7,000,000 EGP",El Chatby,3,2,192,4,Super Lux,Other,2017,Cash,Broker,,https://aqarmap.com.eg/en/listing/5075467-for-sale-alexandria-el-chatby/
EG-4872475,Apartments For sale in Port Said Street,"3,000,000 EGP",El Chatby,2,1,124,4,Super Lux,Main Street,1999,Cash,Broker,New Home - نيو هوم,https://aqarmap.com.eg/en/listing/4872475-for-sale-alexandria-el-chatby-port-said-street/
EG-5060269,شقه للبيع ?مساحه130م,"4,600,000 EGP",El Chatby,3,1,130,7,Super Lux,Other,1994,Cash,Broker,,https://aqarmap.com.eg/en/listing/5060269-for-sale-alexandria-el-chatby/
EG-5189195,شقة للبيع في الشاطبي,"13,000,000 EGP",El Chatby,3,2,265,12,Extra Super Lux,Other,2012,Cash,Broker,,https://aqarmap.com.eg/en/listing/5189195-for-sale-alexandria-el-chatby/
EG-5189289,شقة للبيع بمساحة 265 متر – فيو مفتوح على البحر ومدرسة سان مارك,"13,000,000 EGP",El Chatby,3,2,265,14,Extra Super Lux,Other,2012,Cash,Broker,,https://aqarmap.com.eg/en/listing/5189289-for-sale-alexandria-el-chatby/
EG-5140970,شقة للبيع في سوتر 70 م - فيو مفتوح للنادي اليوناني ومجمع الكليات,"1,300,000 EGP",El Chatby,2,1,70,4,Extra Super Lux,Main Street,1999,Cash,Broker,شركة التميز للتسويق والاستثمار العقاري,https://aqarmap.com.eg/en/listing/5140970-for-sale-alexandria-el-chatby-sutar-st/
EG-5031486,شقة للبيع 192 م الشاطبي (ش محمد شفيق) • كود : 023385,"7,000,000 EGP",El Chatby,3,2,192,3,Super Lux,Main Street,2000,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5031486-for-sale-alexandria-el-chatby-mohammed-shafek-ghrbal-st/
EG-5114605,شقه للبيع – الشاطبي تاني نمره من البحر –فيوهات بحر,"4,100,000 EGP",El Chatby,3,1,130,7,Super Lux,Main Street,1989,Cash,Broker,investa realestat,https://aqarmap.com.eg/en/listing/5114605-for-sale-alexandria-el-chatby-port-said-street/
EG-4925476,شقة للبيع اكسترا سوبر لوكس تري البحر,"5,850,000 EGP",El Chatby,4,2,265,4,Extra Super Lux,Other,2021,Cash,Broker,,https://aqarmap.com.eg/en/listing/4925476-for-sale-alexandria-el-chatby/
