Source.Name,Listing ID,Title,Price,Location,Rooms,Baths,Size in Meters,Floor,Finish Type,View,Year Built,Payment Method,Seller Type,Developer,Property Link
properties-zezenia1.csv,EG-5069528,شقة للبيع 325 م زيزينيا ( طريق الجيش ),"16,000,000 EGP",Zezenia,4,4,325,15,Extra Super Lux,Sea View,2005,Cash,Broker,Coldwell Banker Platinum,https://aqarmap.com.eg/en/listing/5069528-for-sale-alexandria-zezenia/
properties-zezenia1.csv,EG-5206044,Apartment for sale 250m Zizinia (Mahmoud El-Deeb Street),"10,000,000 EGP",Zezenia,3,2,250,8,Extra Super Lux,Main Street,2010,Cash,Broker,Coldwell Banker Platinum,https://aqarmap.com.eg/en/listing/5206044-for-sale-alexandria-zezenia-mahmoud-el-deeb-st/
properties-zezenia1.csv,EG-5175053,Apartments For sale in Ahmed Othman St,"2,850,000 EGP",Zezenia,3,2,152,10,Super Lux,Other,2005,Cash,Broker,New Home - نيو هوم,https://aqarmap.com.eg/en/listing/5175053-for-sale-alexandria-zezenia-ahmed-othman-st/
properties-zezenia1.csv,EG-5208792,Apartment for sale 300 m Zizinia (Qaim Hassan Mahmoud St),"10,000,000 EGP",Zezenia,3,3,300,3,Super Lux,Sea View,2000,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5208792-for-sale-alexandria-zezenia-al-mokadem-hasan-mahmoud-st/
properties-zezenia1.csv,EG-5137276,Apartment for sale 140 m Gleem (Prince Jameel St.),"4,000,000 EGP",Zezenia,3,2,140,8,Super Lux,Other,2013,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5137276-for-sale-alexandria-zezenia-el-amir-gameel-st/
properties-zezenia1.csv,,"Apartment for sale, 320m, Zizina (in front of the Jewelry Palace)","13,500,000 EGP",Zezenia,5,4,320,2,Super Lux,2002,,Broker,"42,188 EGP/M²",Coldwell Banker Platinum,https://aqarmap.com.eg/en/listing/4878789-for-sale-alexandria-zezenia/
properties-zezenia1.csv,EG-5076967,Apartments For sale in Abd El-Salam Aref St,"18,000,000 EGP",Zezenia,4,2,319,1,Super Lux,Sea View,1995,Cash,Broker,Avalon Resale,https://aqarmap.com.eg/en/listing/5076967-for-sale-alexandria-zezenia-abd-el-salam-aref-st/
properties-zezenia1.csv,EG-4838930,Apartments For sale in Ibrahim El-Attar St,"6,000,000 EGP",Zezenia,3,3,195,4,Extra Super Lux,Main Street,2014,Cash,Broker,شركة التميز للتسويق والاستثمار العقاري,https://aqarmap.com.eg/en/listing/4838930-for-sale-alexandria-zezenia-ibrahim-el-attar-st/
properties-zezenia1.csv,EG-5189208,"Apartment for sale, 175 meter, Zizinia (Mustafa Abdel Razzaq Street)","4,200,000 EGP",Zezenia,3,2,175,5,Super Lux,Main Street,2018,Cash,Broker,Coldwell Banker Platinum,https://aqarmap.com.eg/en/listing/5189208-for-sale-alexandria-zezenia-mostafa-abd-el-razik-st/
properties-zezenia1.csv,EG-4878341,Apartments For sale in Ibn Hokal Rd,"6,250,000 EGP",Zezenia,3,3,195,4,Super Lux,Side Street,2018,Cash,Building Developer,شقتى للتسويق العقارى,https://aqarmap.com.eg/en/listing/4878341-for-sale-alexandria-zezenia-ibn-hokal-rd/
