,hay-sharq,Date,hay-al-amereyah,hay-gharb,hay-than-el-montazah,hay-el-gomrok,hay-al-agami,hay-wasat,hay-awal-el-montazah
0,12626.5,2020Q4,9011.5,19732.0,11568.0,0.0,5052.0,13299.5,8535.5
1,12815.5,2021Q4,8191.0,20918.0,12824.5,8784.0,5715.0,13334.0,8532.5
2,13513.0,2022Q4,14701.0,20918.0,9922.5,15175.0,6742.0,14076.5,10412.0
3,14490.0,2023Q1,13759.5,20918.0,10826.5,17884.0,7739.5,16544.0,10026.5
4,15774.0,2023Q3,20025.5,,13077.5,24652.5,7829.0,16229.0,10564.0
5,15562.0,2023Q4,11583.5,,11984.5,24792.0,9651.0,16599.5,10714.0
6,18178.75,2024Q1,18542.5,,12719.25,24931.0,9465.0,16237.0,12783.5
7,20511.0,2024Q2,19736.5,,15342.0,24826.0,9372.0,18544.5,14421.0
8,22582.0,2024Q3,20381.75,,18072.0,,9502.0,22102.5,15758.0
9,21227.0,2024Q4,19641.5,,16016.0,,,20154.5,14774.0
