,hay-sharq,Date,hay-al-amereyah,hay-gharb,hay-than-el-montazah,hay-el-gomrok,hay-al-agami,hay-wasat,hay-awal-el-montazah
0,12626.5,2020Q4,7715.083333333334,8261.333333333334,10051.75,7186.944444444445,5052.0,13299.5,8535.5
1,12815.5,2021Q4,8561.041666666666,11805.666666666666,10678.5,11307.888888888889,5715.0,13334.0,8532.5
2,13513.0,2022Q4,11533.333333333334,14278.333333333334,10167.25,14509.944444444445,6742.0,14076.5,10412.0
3,14490.0,2023Q1,11759.833333333334,15513.833333333334,10426.5,16647.277777777777,7739.5,16544.0,10026.5
4,15774.0,2023Q3,13664.8125,16240.75,11820.75,19040.75,7829.0,16229.0,10564.0
5,15562.0,2023Q4,12292.5,17221.5,11349.25,19537.666666666668,9651.0,16599.5,10714.0
6,18178.75,2024Q1,14497.25,17198.0,12751.375,19455.333333333332,9465.0,16237.0,12783.5
7,20511.0,2024Q2,15157.125,17099.0,14881.5,20156.5,9372.0,18544.5,14421.0
8,22582.0,2024Q3,13785.9375,9502.0,16915.0,15802.25,9502.0,22102.5,15758.0
9,21227.0,2024Q4,17207.75,,15395.0,20154.5,,20154.5,14774.0
