,hay-than-el-montazah,hay-al-agami,hay-awal-el-montazah,hay-gharb,hay-al-amereyah,hay-wasat,hay-el-gomrok,alexandria-compounds,hay-sharq,Date
0,16598.281986736096,2050.7096704416663,6131.314116931531,20918.000037668564,2583.4935761266097,17013.29113448305,,15410.700847898945,7592.88360191329,2017Q1
1,15690.143730300275,2246.582116512428,5504.144846660649,20918.00474885097,2972.0655359291286,16014.132378382548,,13676.626746522299,8000.655015498944,2017Q2
2,16429.154195403622,2424.714971320591,6319.706467038104,20918.001468775863,3331.0777159031277,16983.99087188465,,15759.201342144348,8371.483924542883,2017Q3
3,20511.65032373055,2157.0834074944623,6168.157472450781,22214.960686438233,7268.442780128424,23707.491578177105,,28649.873116761617,9845.60705942368,2017Q4
4,17279.61130148673,2773.807333609484,7514.736376332057,20917.99546390857,4055.494575218031,18208.34870504649,,18805.53844934329,9098.209255739308,2018Q1
5,16159.58724739839,2916.506704605781,6582.13332030633,20918.00200976789,4333.272202422742,16872.742229901953,,16273.872974599763,9395.288709940149,2018Q2
6,16270.046782854639,3037.1361855702,6815.201338881161,20918.001495153207,4573.277550645477,17094.709131225387,,16844.414675205364,9646.412372567742,2018Q3
7,18353.191625387895,2976.835215841643,7466.329551883708,21371.80301858573,6023.725862524312,20330.946882867884,,23216.91456733745,10231.614562520474,2018Q4
8,17733.842845738116,3234.3366907763548,8486.17560434818,20917.992160010122,4984.4180896150165,19101.00943761295,,21213.166091486368,10056.926519350473,2019Q1
9,16683.48187167768,3395.6157811419653,7645.496047292661,20917.998451124146,5295.951545828457,17885.41557025395,,18917.147417254026,10392.684528658283,2019Q2
10,16768.941402585406,3558.1887752654566,7839.622765714015,20917.99859113401,5621.569051698268,18033.94202555811,,19360.715321574975,10731.126532062248,2019Q3
11,15953.641399601736,3891.083571502405,9095.155905961936,20353.217113999315,4353.98618491436,16465.960410225623,,16828.61159567214,10539.59088454682,2019Q4
12,18249.16629802558,3872.212623736803,9631.382882430542,20917.990012350307,6253.816204054207,20163.229258507057,4238.854390772223,23996.051983580674,11384.842777187456,2020Q1
13,16264.27794692207,4170.9277927241465,8130.644110588262,20917.999853050092,6851.566133916996,17878.053365357977,4871.599593909097,19915.78724318091,12006.718512595977,2020Q2
14,16245.563020779002,4457.82563449922,8394.591334729233,20917.999649760226,7436.129305212463,17969.581047861753,5479.258219596148,20506.680722804715,12603.977400450734,2020Q3
15,8131.75,5052.0,9131.5,19732.0,4505.75,10767.0,0.0,11227.5,11983.42857142857,2020Q4
16,17364.198558649296,4864.820733714491,9898.063040603134,20917.9920178218,8281.949178234534,19544.18491318855,6341.24488365967,24349.372707797218,13451.241148401401,2021Q1
17,15777.979746028606,5140.395266802046,8712.416408145986,20918.000089731304,8834.401188816706,17711.038326416012,6924.967352586584,21107.549038543897,14024.94031861072,2021Q2
18,15330.538139612472,5425.167425699569,8562.13962115967,20918.003148296564,9396.412721026702,17317.59185320889,7528.142237467984,20592.74594794429,14617.779103374067,2021Q3
19,13487.0,5715.0,8500.25,20918.0,7114.25,16618.8,8142.0,22334.0,15221.142857142857,2021Q4
20,16180.255858134144,6067.251324389009,10074.695943693947,20917.997273440178,10703.2935491434,18745.68963762343,8888.065279359947,24367.18075962713,15954.449597652507,2022Q1
21,13970.832684613706,6630.489893391746,8610.92557090408,20918.00743791026,11853.345552444176,16218.906579367063,10081.082243058603,20289.862528800917,17127.006301632548,2022Q2
22,13272.315318040404,7017.278098557582,8353.384854383192,20918.011920140827,12613.176945844698,15615.34360945743,10900.338811616006,19452.148008678992,17932.222642555775,2022Q3
23,10730.5,7581.186374758297,9428.0,20918.00505951001,17650.0,15913.666666666666,12094.677518765431,20751.25,19106.146868612443,2022Q4
24,9882.5,8193.104558550018,9233.0,20918.00223373245,14546.5,15257.333333333334,13390.725830904776,22358.5,20380.023649011484,2023Q1
25,13024.244357069096,8626.899011783338,9723.454115209657,20918.01369387716,15845.899684020911,16150.855086899335,14309.582938008785,22455.48069155041,21283.107752155032,2023Q2
26,10231.5,9012.964205060736,9021.5,20918.016376644406,17191.0,14631.666666666666,15127.297919165117,23743.0,22086.816120937583,2023Q3
27,10906.5,9439.842092902592,10799.5,20918.012402180335,14652.5,17210.333333333332,16031.417811200117,24187.0,22975.47725896066,2023Q4
28,17866.0,8919.453630393687,13263.0,20917.999088250228,15972.0,19001.333333333332,14929.140996731534,29573.25,21892.12026851423,2024Q1
29,16145.497806391351,8572.079085671954,12392.222086915448,20917.999524262337,15736.950903893867,19865.317842824305,14193.391896683846,29512.422301754123,21168.96234059535,2024Q2
30,31257.5,8688.54152510018,16978.0,20918.002240063634,17650.0,28702.666666666668,14440.078892713338,36321.75,21411.41618361939,2024Q3
31,21358.0,9502.0,13662.75,20918.0,18091.25,22969.4,16163.0,34642.0,23104.85714285714,2024Q4
