,hay-than-el-montazah,hay-gharb,hay-sharq,hay-al-amereyah,hay-el-gomrok,alexandria-compounds,hay-wasat,hay-awal-el-montazah,hay-al-agami,Date
0,10545.29872317684,8050.278696426671,7987.016301237696,4154.7127211610805,5902.252677013868,18572.486993419618,9656.479334614934,5703.8456976170555,2135.0553995543996,2017Q1
1,10633.923039401312,8287.927481990093,8197.09192261575,4525.007816538352,6057.066928162858,18844.015425350444,9883.273302498481,5895.315891651879,1874.6599448754232,2017Q2
2,10715.009640889215,8508.93962840713,8391.1432463373,4865.560591901797,6200.507644071528,19092.315481622136,10092.583303807456,6072.790833946713,2400.0112325676705,2017Q3
3,10949.526220313013,11945.86466034327,7862.638854780749,5319.394873313261,7204.5127468334,21117.872563116067,9667.673580156934,5981.497559323465,3154.120186540895,2017Q4
4,10871.88229460657,8948.428074792937,8774.574888914813,5542.758110540956,6485.270610073802,19579.396346785325,10507.383755428471,6424.837062739091,3282.7122529705734,2018Q1
5,10936.554956280452,9118.685985660362,8925.967384534562,5809.577650673426,6596.468058615498,19776.602268951814,10670.718190186135,6562.37619242667,2812.8289797476186,2018Q2
6,10991.512959760916,9266.620452642885,9056.375951913495,6038.449565694947,6692.648553131462,19944.37187070219,10811.325206751502,6681.383630032471,2992.2447108649685,2018Q3
7,11088.67705659473,10513.71007897341,8909.594578355674,6264.131389304285,7072.531205146064,20700.28073545853,10703.883536464782,6684.794472273365,3679.714175044515,2018Q4
8,11080.68524098444,9517.743309802534,9274.8084567359,6422.722550453425,6855.037127186639,20220.449961888116,11047.368071757384,6882.221742687518,4051.2581248611486,2019Q1
9,11154.137232266741,9709.811029598844,9445.80599304457,6723.285839569624,6980.487731149654,20443.424073505266,11231.652163850118,7037.440604773683,3632.510915089667,2019Q2
10,11227.92447576526,9909.629519611432,9621.738942715388,7032.675538000216,7110.37799380814,20669.494939203214,11421.504461812989,7198.118980310931,3805.7840097504895,2019Q3
11,11223.518122730393,8685.676359767218,10089.844385421922,7254.150874198154,6849.792566061206,20089.62770876395,11863.7013384164,7456.2942932076485,4270.900698647171,2019Q4
12,11371.20800657908,10299.897535838758,9964.306347233181,7633.032628746831,7363.57726528066,21107.529654734106,11790.834260003223,7511.443327753874,4949.802355143195,2020Q1
13,11505.541994763891,10662.923610763253,10284.797203620394,8199.82359355275,7600.070916685504,21521.363172372814,12137.289139293258,7803.8176266115925,4270.078981024201,2020Q2
14,11634.868384964217,11018.831464438335,10596.938932092691,8750.576665913457,7831.165989404304,21920.64329408604,12474.666503774577,8089.566899343483,4568.795042379329,2020Q3
15,11568.0,8261.333333333334,11487.166666666666,9011.5,7186.944444444445,20303.5,13299.5,8535.5,5052.0,2020Q4
16,11817.731332649739,11531.877324056091,11044.34758178802,9540.786142398416,10617.478159810187,22488.652512628476,12958.704385469518,8500.454249902514,5660.1963057335515,2021Q1
17,11941.708529246876,11867.539510483983,11340.469327638082,10064.306254333365,7309.800438824695,22870.626392107333,13278.801021518597,8770.69739727989,5140.368494010525,2021Q2
18,12071.335332884657,12213.664990649599,11646.475286630908,10601.837771973755,6991.045974838857,23265.91200298557,13608.745412764089,9049.521894615704,5163.762328229409,2021Q3
19,12824.5,11805.666666666666,11560.666666666666,8191.0,8784.0,20270.0,13334.0,8532.5,5715.0,2021Q4
20,12361.557775572957,13011.765924124122,12346.202311573863,11834.508334787804,12638.916297270993,24160.254234103282,14364.638193642084,9690.138579769602,6345.409022722613,2022Q1
21,12613.847955522926,13707.058629689247,12956.53263746802,12915.383730298629,9136.38403347017,24942.554226104392,15025.13197301705,10248.72183508146,5860.012179179946,2022Q2
22,12790.179077753279,14175.87696033813,13371.4756898435,13643.744384942815,8506.409054269221,25479.275513397806,15472.366874453557,10626.557285089915,5857.992464709073,2022Q3
23,9922.5,14278.333333333334,12667.166666666666,14701.0,15175.0,20504.0,14076.5,10412.0,6742.0,2022Q4
24,10826.5,14402.833333333334,13285.25,13759.5,15175.0,22243.0,16544.0,10026.5,7115.5,2023Q1
25,13519.681112439022,16156.358372603947,15114.298623903493,16710.920986389327,14439.088843319867,27717.55386172887,17353.68804333992,12218.802290332691,7358.142498348292,2023Q2
26,13077.5,14610.833333333334,13396.5,20025.5,15175.0,23953.5,16229.0,10564.0,7739.5,2023Q3
27,11984.5,15543.666666666666,14291.833333333334,11583.5,17884.0,23612.0,16599.5,10714.0,7829.0,2023Q4
28,12719.25,18407.166666666668,14510.25,18542.5,24652.5,27910.5,16237.0,12783.5,9651.0,2024Q1
29,15342.0,18391.666666666668,16482.75,19736.5,24792.0,35151.0,18544.5,14421.0,9465.0,2024Q2
30,18072.0,18407.0,18930.25,20381.75,24931.0,38432.0,22102.5,15758.0,9372.0,2024Q3
31,16016.0,17164.0,18718.5,19641.5,24826.0,34842.0,20154.5,14774.0,9502.0,2024Q4
