,hay-sharq,hay-awal-el-montazah,alexandria-compounds,hay-el-gomrok,hay-al-agami,hay-gharb,hay-than-el-montazah,hay-wasat,hay-al-amereyah,Date
0,7987.016301237696,5703.8456976170555,18572.486993419618,5902.252677013868,2135.0553995543996,8050.278696426671,10545.29872317684,9656.479334614934,2884.221956348575,2017Q1
1,8197.09192261575,5895.315891651879,18844.015425350444,6057.066928162858,1874.6599448754232,8287.927481990093,10633.923039401312,9883.273302498481,3167.1302350331,2017Q2
2,8391.1432463373,6072.790833946713,19092.315481622136,6200.507644071528,2400.0112325676705,8508.93962840713,10715.009640889215,10092.583303807456,3429.2850452565717,2017Q3
3,7862.638854780749,5981.497559323465,21117.872563116067,7204.5127468334,3154.120186540895,11945.86466034327,10949.526220313013,9667.673580156934,3341.7176934240224,2017Q4
4,8774.574888914813,6424.837062739091,19579.396346785325,6485.270610073802,3282.7122529705734,8948.428074792937,10871.88229460657,10507.383755428471,3953.874256844274,2018Q1
5,8925.967384534562,6562.37619242667,19776.602268951814,6596.468058615498,2812.8289797476186,9118.685985660362,10936.554956280452,10670.718190186135,4156.4516189528185,2018Q2
6,9056.375951913495,6681.383630032471,19944.37187070219,6692.648553131462,2992.2447108649685,9266.620452642885,10991.512959760916,10811.325206751502,4331.882835279161,2018Q3
7,8909.594578355674,6684.794472273365,20700.28073545853,7072.531205146064,3679.714175044515,10513.71007897341,11088.67705659473,10703.883536464782,4354.091030561114,2018Q4
8,9274.8084567359,6882.221742687518,20220.449961888116,6855.037127186639,4051.2581248611486,9517.743309802534,11080.68524098444,11047.368071757384,4630.61382157113,2019Q1
9,9445.80599304457,7037.440604773683,20443.424073505266,6980.487731149654,3632.510915089667,9709.811029598844,11154.137232266741,11231.652163850118,4858.546214121299,2019Q2
10,9621.738942715388,7198.118980310931,20669.494939203214,7110.37799380814,3805.7840097504895,9909.629519611432,11227.92447576526,11421.504461812989,5095.966975812551,2019Q3
11,10089.844385421922,7456.2942932076485,20089.62770876395,6849.792566061206,4270.900698647171,8685.676359767218,11223.518122730393,11863.7013384164,5458.755703968305,2019Q4
12,9964.306347233181,7511.443327753874,21107.529654734106,7363.57726528066,4949.802355143195,10299.897535838758,11371.20800657908,11790.834260003223,5558.300644596473,2020Q1
13,10284.797203620394,7803.8176266115925,21521.363172372814,7600.070916685504,4270.078981024201,10662.923610763253,11505.541994763891,12137.289139293258,5991.832494014787,2020Q2
14,10596.938932092691,8089.566899343483,21920.64329408604,7831.165989404304,4568.795042379329,11018.831464438335,11634.868384964217,12474.666503774577,6416.133285778302,2020Q3
15,11487.166666666666,8535.5,20303.5,7186.944444444445,5052.0,8261.333333333334,11568.0,13299.5,7031.75,2020Q4
16,11044.34758178802,8500.454249902514,22488.652512628476,10617.478159810187,5660.1963057335515,11531.877324056091,11817.731332649739,12958.704385469518,7028.553975002056,2021Q1
17,11340.469327638082,8770.69739727989,22870.626392107333,7309.800438824695,5140.368494010525,11867.539510483983,11941.708529246876,13278.801021518597,7429.301412760558,2021Q2
18,11646.475286630908,9049.521894615704,23265.91200298557,6991.045974838857,5163.762328229409,12213.664990649599,12071.335332884657,13608.745412764089,7840.018779169244,2021Q3
19,11560.666666666666,8532.5,20270.0,8784.0,5715.0,11805.666666666666,12824.5,13334.0,6953.0,2021Q4
20,12346.202311573863,9690.138579769602,24160.254234103282,12638.916297270993,6345.409022722613,13011.765924124122,12361.557775572957,14364.638193642084,8790.118622035608,2022Q1
21,12956.53263746802,10248.72183508146,24942.554226104392,9136.38403347017,5860.012179179946,13707.058629689247,12613.847955522926,15025.13197301705,9621.815086442817,2022Q2
22,13371.4756898435,10626.557285089915,25479.275513397806,8506.409054269221,5857.992464709073,14175.87696033813,12790.179077753279,15472.366874453557,10177.700511197723,2022Q3
23,12667.166666666666,10412.0,20504.0,15175.0,6742.0,14278.333333333334,9922.5,14076.5,10721.5,2022Q4
24,13285.25,10026.5,22243.0,15175.0,7115.5,14402.833333333334,10826.5,16544.0,10437.5,2023Q1
25,15114.298623903493,12218.802290332691,27717.55386172887,14439.088843319867,7358.142498348292,16156.358372603947,13519.681112439022,17353.68804333992,12532.604643206003,2023Q2
26,13396.5,10564.0,23953.5,15175.0,7739.5,14610.833333333334,13077.5,16229.0,13882.5,2023Q3
27,14291.833333333334,10714.0,23612.0,17884.0,7829.0,15543.666666666666,11984.5,16599.5,9706.25,2023Q4
28,14510.25,12783.5,27910.5,24652.5,9651.0,18407.166666666668,12719.25,16237.0,14096.75,2024Q1
29,16482.75,14421.0,35151.0,24792.0,9465.0,18391.666666666668,15342.0,18544.5,14600.75,2024Q2
30,18930.25,15758.0,38432.0,24931.0,9372.0,18407.0,18072.0,22102.5,14876.875,2024Q3
31,18718.5,14774.0,34842.0,24826.0,9502.0,17164.0,16016.0,20154.5,14571.75,2024Q4
