,Date,hay-el-gomrok,hay-wasat,hay-than-el-montazah,hay-sharq,hay-al-amereyah,alexandria-compounds,hay-gharb,hay-awal-el-montazah,hay-al-agami
0,2017Q1,5902.252677013868,9656.479334614934,10545.29872317684,7987.016301237696,4702.101849448991,18572.486993419618,8050.278696426671,5703.8456976170555,2135.0553995543996
1,2017Q2,6057.066928162858,9883.273302498481,10633.923039401312,8197.09192261575,4955.732624628495,18844.015425350444,8287.927481990093,5895.315891651879,1874.6599448754232
2,2017Q3,6200.507644071528,10092.583303807456,10715.009640889215,8391.1432463373,5191.59806578274,19092.315481622136,8508.93962840713,6072.790833946713,2400.0112325676705
3,2017Q4,7204.5127468334,9667.673580156934,10949.526220313013,7862.638854780749,5875.832615698449,21117.872563116067,11945.86466034327,5981.497559323465,3154.120186540895
4,2018Q1,6485.270610073802,10507.383755428471,10871.88229460657,8774.574888914813,5663.09717054537,19579.396346785325,8948.428074792937,6424.837062739091,3282.7122529705734
5,2018Q2,6596.468058615498,10670.718190186135,10936.554956280452,8925.967384534562,5844.443413056529,19776.602268951814,9118.685985660362,6562.37619242667,2812.8289797476186
6,2018Q3,6692.648553131462,10811.325206751502,10991.512959760916,9056.375951913495,6002.118184596917,19944.37187070219,9266.620452642885,6681.383630032471,2992.2447108649685
7,2018Q4,7072.531205146064,10703.883536464782,11088.67705659473,8909.594578355674,6289.385661480195,20700.28073545853,10513.71007897341,6684.794472273365,3679.714175044515
8,2019Q1,6855.037127186639,11047.368071757384,11080.68524098444,9274.8084567359,6271.258805136403,20220.449961888116,9517.743309802534,6882.221742687518,4051.2581248611486
9,2019Q2,6980.487731149654,11231.652163850118,11154.137232266741,9445.80599304457,6475.467819190983,20443.424073505266,9709.811029598844,7037.440604773683,3632.510915089667
10,2019Q3,7110.37799380814,11421.504461812989,11227.92447576526,9621.738942715388,6688.744719416905,20669.494939203214,9909.629519611432,7198.118980310931,3805.7840097504895
11,2019Q4,6849.792566061206,11863.7013384164,11223.518122730393,10089.844385421922,6682.910362106272,20089.62770876395,8685.676359767218,7456.2942932076485,4270.900698647171
12,2020Q1,7363.57726528066,11790.834260003223,11371.20800657908,9964.306347233181,7104.984889383454,21107.529654734106,10299.897535838758,7511.443327753874,4949.802355143195
13,2020Q2,7600.070916685504,12137.289139293258,11505.541994763891,10284.797203620394,7493.244948601721,21521.363172372814,10662.923610763253,7803.8176266115925,4270.078981024201
14,2020Q3,7831.165989404304,12474.666503774577,11634.868384964217,10596.938932092691,7874.2498288192255,21920.64329408604,11018.831464438335,8089.566899343483,4568.795042379329
15,2020Q4,7186.944444444445,13299.5,11568.0,11487.166666666666,7715.083333333334,20303.5,8261.333333333334,8535.5,5052.0
16,2021Q1,10617.478159810187,12958.704385469518,11817.731332649739,11044.34758178802,8424.748085773763,22488.652512628476,11531.877324056091,8500.454249902514,5660.1963057335515
17,2021Q2,7309.800438824695,13278.801021518597,11941.708529246876,11340.469327638082,8783.76334318306,22870.626392107333,11867.539510483983,8770.69739727989,5140.368494010525
18,2021Q3,6991.045974838857,13608.745412764089,12071.335332884657,11646.475286630908,9152.496884034164,23265.91200298557,12213.664990649599,9049.521894615704,5163.762328229409
19,2021Q4,8784.0,13334.0,12824.5,11560.666666666666,8561.041666666666,20270.0,11805.666666666666,8532.5,5715.0
20,2022Q1,12638.916297270993,14364.638193642084,12361.557775572957,12346.202311573863,10006.281509505206,24160.254234103282,13011.765924124122,9690.138579769602,6345.409022722613
21,2022Q2,9136.38403347017,15025.13197301705,12613.847955522926,12956.53263746802,10751.795199198168,24942.554226104392,13707.058629689247,10248.72183508146,5860.012179179946
22,2022Q3,8506.409054269221,15472.366874453557,12790.179077753279,13371.4756898435,11250.865736581985,25479.275513397806,14175.87696033813,10626.557285089915,5857.992464709073
23,2022Q4,15175.0,14076.5,9922.5,12667.166666666666,11533.333333333334,20504.0,14278.333333333334,10412.0,6742.0
24,2023Q1,15175.0,16544.0,10826.5,13285.25,11326.083333333334,22243.0,14402.833333333334,10026.5,7115.5
25,2023Q2,14439.088843319867,17353.68804333992,13519.681112439022,15114.298623903493,13365.915037961848,27717.55386172887,16156.358372603947,12218.802290332691,7358.142498348292
26,2023Q3,15175.0,16229.0,13077.5,13396.5,13234.958333333334,23953.5,14610.833333333334,10564.0,7739.5
27,2023Q4,17884.0,16599.5,11984.5,14291.833333333334,11417.541666666666,23612.0,15543.666666666666,10714.0,7829.0
28,2024Q1,24652.5,16237.0,12719.25,14510.25,14846.041666666668,27910.5,18407.166666666668,12783.5,9651.0
29,2024Q2,24792.0,18544.5,15342.0,16482.75,15503.541666666668,35151.0,18391.666666666668,14421.0,9465.0
30,2024Q3,24931.0,22102.5,18072.0,18930.25,15979.6875,38432.0,18407.0,15758.0,9372.0
31,2024Q4,24826.0,20154.5,16016.0,18718.5,15270.375,34842.0,17164.0,14774.0,9502.0
