,hay-awal-el-montazah,hay-al-amereyah,hay-wasat,hay-al-agami,hay-sharq,hay-gharb,hay-el-gomrok,hay-than-el-montazah,Date
0,11320.814441364748,4699.840741146693,9660.108498997535,2226.550674349362,13461.794851582072,8049.916122724677,5903.341540574071,16505.16525564334,2017Q1
1,11076.597998928575,4953.53068213288,9886.796927034366,1949.3076748402468,13061.946786704575,8287.573375708509,6058.123434247625,16372.505695127456,2017Q2
2,11287.44576935691,5189.461638576677,10096.002963670024,2484.213342638043,13508.829023326938,8508.596224864523,6201.533062844849,16333.524501483313,2017Q3
3,11906.9803774913,5872.259544955226,9673.192334886095,3286.3317894770134,16306.650128168672,11945.231710145817,7206.141348343971,17310.900480074342,2017Q4
4,11640.680474504592,5661.110779706928,10510.586459069247,3376.451530749303,14112.925731871293,8948.109864341564,6486.232107803604,15994.331290306865,2018Q1
5,11310.233510680187,5842.492289252812,10673.849120260058,2885.828109689956,13577.569257751886,9118.372130857519,6597.407083705858,15975.647835643507,2018Q2
6,11343.680576540759,6000.206748299857,10814.388796010888,3066.2996834205715,13675.798966559203,9266.312755866908,6693.567183959265,15899.526093788258,2018Q3
7,11773.049289447878,6286.992253579614,10707.656601827703,3782.295276309535,15012.818876790883,10513.305047421802,7073.653883083168,16127.026454284762,2018Q4
8,11831.947934436492,6269.438323768463,11050.304719963326,4149.355541657951,14525.270372281968,9517.451569416073,6855.918763126466,15600.065800924662,2019Q1
9,11510.68234029477,6473.685393536921,11234.50869479447,3711.459067616702,14027.03273658292,9709.523946448662,6981.3442137477105,15569.87890042134,2019Q2
10,11535.328377910851,6687.017628436623,11424.26916497794,3883.4300658032166,14129.619439756341,9909.351047332824,7111.206737436922,15540.754279145185,2019Q3
11,11603.570995977096,6681.901515583375,11865.417475112095,4342.30583002181,13506.294708641983,8685.539729822915,6850.31906831167,14854.858321983607,2019Q4
12,11986.924483567385,7103.374202062851,11793.41490976256,5051.732894557612,15009.584346671636,10299.6383013888,7364.3510703837865,15226.93573558265,2020Q1
13,11472.489224232802,7491.728042584882,12139.70692480365,4335.672218498515,14100.518466961212,10662.677759975204,7600.794894926284,14989.223235224523,2020Q2
14,11519.866840143102,7872.841348524208,12476.915594293672,4629.851004632794,14211.306253849996,11018.602966246082,7831.8395201799185,14804.895924922313,2020Q3
15,8535.5,7715.083333333334,13299.5,5052.0,9205.9,8261.333333333334,7186.944444444445,10051.75,2020Q4
16,11969.272546539001,8423.516340835307,12960.699353135024,5734.250883763651,14982.660720180022,11531.678614795335,12999.000054959235,14416.883830083394,2021Q1
17,11559.651355470558,8782.619995425386,13280.644474214716,5184.368867871375,14270.852671735676,11867.35361724612,12771.575017140985,14233.675998871306,2021Q2
18,11422.21359933661,9151.43931420708,13610.43517441988,5197.555512548577,14131.86637543777,12213.491703637588,12753.829482891511,14118.876072241786,2021Q3
19,8532.5,8561.041666666666,13334.0,5715.0,11258.1,11805.666666666666,9909.570833333333,10678.5,2021Q4
20,11782.175140973404,10005.468853264872,14365.948510823397,6386.738144741823,14835.8589769233,13011.63236529326,13223.27400558589,13592.82234521276,2022Q1
21,11300.584299787508,10751.190214842207,15026.115375528989,5855.443660297999,13943.634362183684,13706.957177826293,13073.48901262533,13163.733498184878,2022Q2
22,11082.18534997952,11250.373187031591,15473.144074856344,5839.084479162284,13703.098903985578,14175.791784804418,12996.492538218256,12976.8928157054,2022Q3
23,10412.0,11533.333333333334,14076.5,6742.0,12619.8,14278.333333333334,12076.566666666666,10167.25,2022Q4
24,10026.5,11326.083333333334,16544.0,7115.5,13143.0,14402.833333333334,12234.541666666668,10426.5,2023Q1
25,11144.349442023165,13365.97840673768,17353.551306697063,7317.02056106786,14177.132450256084,16156.359887287972,13586.647686658238,12048.018502546027,2023Q2
26,10564.0,13234.958333333334,16229.0,7739.5,13761.375,14610.833333333334,13498.166666666668,11820.75,2023Q3
27,10714.0,11417.541666666666,16599.5,7829.0,14548.8,15543.666666666666,12983.170833333334,11349.25,2023Q4
28,12783.5,14846.041666666668,16237.0,9651.0,16598.0625,18407.166666666668,15722.052083333334,12751.375,2024Q1
29,14421.0,15503.541666666668,18544.5,9465.0,18274.875,18391.666666666668,16889.208333333336,14881.5,2024Q2
30,15758.0,15979.6875,22102.5,9372.0,20215.875,18407.0,18097.78125,16915.0,2024Q3
31,14774.0,15270.375,20154.5,9502.0,19399.5,17164.0,17334.9375,15395.0,2024Q4
