,Date,Price Per Meter
0,2017Q1,13815.474686491523
1,2017Q2,13506.873784368789
2,2017Q3,14641.841815095318
3,2017Q4,15866.93571777567
4,2018Q1,14541.982695916196
5,2018Q2,15074.47829246944
6,2018Q3,14986.52180445646
7,2018Q4,14485.100527974795
8,2019Q1,13548.70904606324
9,2019Q2,13876.794820821984
10,2019Q3,14892.798789043636
11,2019Q4,13484.66142543564
12,2020Q1,13503.2838688158
13,2020Q2,12873.072277847066
14,2020Q3,13450.65307453168
15,2020Q4,12340.0
16,2021Q1,13507.610828818062
17,2021Q2,13473.721147771528
18,2021Q3,13895.187265204488
19,2021Q4,14526.0
20,2022Q1,13532.83138917884
21,2022Q2,13947.08443387767
22,2022Q3,13888.684644493733
23,2022Q4,14953.5
24,2023Q1,14537.0
25,2023Q2,15755.15758781938
26,2023Q3,15683.5
27,2023Q4,16380.5
28,2024Q1,18113.25
29,2024Q2,19040.367055688286
30,2024Q3,22430.5
31,2024Q4,19892.66166168505
