Area,Bedrooms No.,Jan 2024,Jul 2024,Mar 2024,May 2024,Nov 2023,Sep 2024
alexandria-compounds,1,"EGP 46,605","EGP 52,922","EGP 49,452","EGP 44,487","EGP 42,112","EGP 63,880"
alexandria-compounds,2,"EGP 25,118","EGP 40,993","EGP 30,497","EGP 37,989","EGP 24,037","EGP 42,436"
alexandria-compounds,3,"EGP 27,251","EGP 35,871","EGP 28,776","EGP 32,313","EGP 26,517","EGP 39,042"
alexandria-compounds,4,"EGP 33,289","EGP 48,758","EGP 39,355","EGP 37,661","EGP 26,529","EGP 63,494"
alexandria-compounds,5,"EGP 19,665","EGP 19,665","EGP 19,665","EGP 19,665","EGP 19,665","EGP 19,665"
alexandria-compounds,6,"EGP 20,367","EGP 20,367","EGP 20,367","EGP 20,367","EGP 20,367","EGP 20,367"
hay-al-agami,2,"EGP 7,215","EGP 6,471","EGP 7,029","EGP 6,657","EGP 7,401","EGP 6,471"
hay-al-agami,3,"EGP 12,273","EGP 12,273","EGP 12,273","EGP 12,273","EGP 10,521","EGP 12,273"
hay-al-amereyah,2,"EGP 23,167","EGP 23,167","EGP 23,167","EGP 23,167","EGP 23,167","EGP 23,167"
hay-al-amereyah,3,"EGP 13,390","EGP 17,802","EGP 14,446","EGP 16,306",0,"EGP 17,391"
hay-al-amereyah,4,"EGP 17,498","EGP 17,498","EGP 17,498","EGP 17,498","EGP 17,498","EGP 17,498"
hay-al-amereyah,5,"EGP 15,484","EGP 15,595","EGP 15,595","EGP 15,595","EGP 15,039","EGP 15,595"
hay-awal-el-montazah,2,"EGP 12,925","EGP 15,448","EGP 13,475","EGP 14,270","EGP 12,475","EGP 16,772"
hay-awal-el-montazah,3,"EGP 11,779","EGP 16,068","EGP 12,955","EGP 14,572","EGP 11,167","EGP 16,771"
hay-awal-el-montazah,4,"EGP 12,838","EGP 17,888","EGP 13,571","EGP 16,307","EGP 10,432","EGP 17,046"
hay-awal-el-montazah,5,"EGP 9,213","EGP 9,333","EGP 9,333","EGP 9,333","EGP 8,973","EGP 9,333"
hay-el-gomrok,2,"EGP 24,583","EGP 24,931","EGP 24,722","EGP 24,792","EGP 24,444","EGP 25,000"
hay-el-gomrok,4,"EGP 7,500","EGP 7,500","EGP 7,500","EGP 7,500","EGP 7,500","EGP 7,500"
hay-gharb,3,"EGP 20,918","EGP 20,918","EGP 20,918","EGP 20,918","EGP 20,918","EGP 20,918"
Hay Sharq,1,"EGP 14,697","EGP 14,697","EGP 14,697","EGP 14,697","EGP 14,697","EGP 14,697"
Hay Sharq,2,"EGP 15,999","EGP 21,722","EGP 17,445","EGP 19,505","EGP 15,054","EGP 23,729"
Hay Sharq,3,"EGP 19,201","EGP 23,442","EGP 20,070","EGP 21,517","EGP 18,463","EGP 25,085"
Hay Sharq,4,"EGP 18,960","EGP 23,026","EGP 20,279","EGP 21,731","EGP 18,106","EGP 24,179"
Hay Sharq,5,"EGP 19,257","EGP 23,957","EGP 18,380","EGP 19,583","EGP 24,756","EGP 31,842"
Hay Sharq,6,"EGP 33,333","EGP 33,333","EGP 33,333","EGP 33,333","EGP 31,944","EGP 39,653"
Hay Sharq,7,"EGP 22,917","EGP 22,917","EGP 22,917","EGP 22,917","EGP 22,917",0
hay-than-el-montazah,2,"EGP 12,410","EGP 18,479","EGP 13,088","EGP 15,452","EGP 12,545","EGP 20,089"
hay-than-el-montazah,3,"EGP 12,407","EGP 17,665","EGP 12,972","EGP 15,232","EGP 12,371","EGP 18,643"
hay-than-el-montazah,4,"EGP 12,106","EGP 44,850","EGP 22,760","EGP 35,426","EGP 9,442","EGP 49,814"
hay-than-el-montazah,5,"EGP 18,333","EGP 18,333","EGP 18,333","EGP 18,333","EGP 18,333","EGP 18,333"
hay-wasat,2,"EGP 15,440","EGP 22,455","EGP 14,564","EGP 17,635","EGP 15,934","EGP 26,077"
hay-wasat,3,"EGP 18,133","EGP 21,750","EGP 17,910","EGP 19,454","EGP 17,730","EGP 23,534"
hay-wasat,4,"EGP 18,274","EGP 29,582","EGP 18,136","EGP 18,487","EGP 18,693","EGP 41,583"
hay-wasat,5,"EGP 14,250","EGP 34,776","EGP 20,958","EGP 36,750","EGP 15,208","EGP 22,871"
hay-wasat,6,"EGP 22,000","EGP 22,000","EGP 22,000","EGP 22,000","EGP 22,000","EGP 22,000"
