Area,Bedrooms No.,Jul 2023,Jul 2024,Mar 2023,Mar 2024,Nov 2022,Nov 2023
alexandria-compounds,1,"EGP 39,975","EGP 52,922","EGP 35,943","EGP 49,452","EGP 32,460","EGP 42,112"
alexandria-compounds,2,"EGP 22,588","EGP 40,993","EGP 21,855","EGP 30,497","EGP 20,262","EGP 24,037"
alexandria-compounds,3,"EGP 25,319","EGP 35,871","EGP 22,631","EGP 28,776","EGP 20,746","EGP 26,517"
alexandria-compounds,4,"EGP 27,400","EGP 48,758","EGP 25,283","EGP 39,355","EGP 22,332","EGP 26,529"
alexandria-compounds,5,"EGP 19,665","EGP 19,665","EGP 19,665","EGP 19,665","EGP 19,665","EGP 19,665"
alexandria-compounds,6,"EGP 20,367","EGP 20,367","EGP 20,367","EGP 20,367","EGP 20,364","EGP 20,367"
hay-al-agami,2,"EGP 6,711","EGP 6,471","EGP 5,463","EGP 7,029","EGP 5,463","EGP 7,401"
hay-al-agami,3,"EGP 8,768","EGP 12,273","EGP 8,768","EGP 12,273","EGP 8,768","EGP 10,521"
hay-al-amereyah,2,"EGP 23,167","EGP 23,167","EGP 15,924","EGP 23,167","EGP 18,198","EGP 23,167"
hay-al-amereyah,3,"EGP 16,884","EGP 17,802","EGP 11,595","EGP 14,446","EGP 18,069","EGP 11,807"
hay-al-amereyah,4,"EGP 17,498","EGP 17,498","EGP 17,498","EGP 17,498","EGP 17,231","EGP 17,498"
hay-al-amereyah,5,"EGP 14,706","EGP 15,595","EGP 14,706","EGP 15,595",N.A.,"EGP 15,039"
hay-awal-el-montazah,2,"EGP 10,966","EGP 15,448","EGP 10,139","EGP 13,475","EGP 10,813","EGP 12,475"
hay-awal-el-montazah,3,"EGP 10,162","EGP 16,068","EGP 9,914","EGP 12,955","EGP 10,011","EGP 11,167"
hay-awal-el-montazah,4,"EGP 7,881","EGP 17,888","EGP 8,552","EGP 13,571","EGP 8,845","EGP 10,432"
hay-awal-el-montazah,5,"EGP 8,853","EGP 9,333","EGP 8,853","EGP 9,333","EGP 8,853","EGP 8,973"
hay-el-gomrok,2,"EGP 15,175","EGP 24,931","EGP 15,175","EGP 24,722","EGP 15,175","EGP 24,444"
hay-el-gomrok,4,"EGP 7,500","EGP 7,500","EGP 7,500","EGP 7,500","EGP 7,500","EGP 7,500"
hay-gharb,3,"EGP 20,918","EGP 20,918","EGP 20,918","EGP 20,918","EGP 20,918","EGP 20,918"
Hay Sharq,1,"EGP 14,844","EGP 14,697","EGP 15,726","EGP 14,697","EGP 15,873","EGP 14,697"
Hay Sharq,2,"EGP 14,629","EGP 21,722","EGP 14,046","EGP 17,445","EGP 13,825","EGP 15,054"
Hay Sharq,3,"EGP 16,919","EGP 23,442","EGP 14,934","EGP 20,070","EGP 14,340","EGP 18,463"
Hay Sharq,4,"EGP 17,023","EGP 23,026","EGP 16,245","EGP 20,279","EGP 15,437","EGP 18,106"
Hay Sharq,5,"EGP 27,700","EGP 23,957","EGP 18,102","EGP 18,380","EGP 20,683","EGP 24,756"
Hay Sharq,6,"EGP 24,770","EGP 33,333","EGP 20,839","EGP 33,333","EGP 20,377","EGP 31,944"
Hay Sharq,7,"EGP 22,917","EGP 22,917","EGP 22,917","EGP 22,917",0,"EGP 22,917"
hay-than-el-montazah,2,"EGP 14,968","EGP 18,479","EGP 11,330","EGP 13,088","EGP 10,329","EGP 12,545"
hay-than-el-montazah,3,"EGP 11,187","EGP 17,665","EGP 10,323","EGP 12,972","EGP 9,516","EGP 12,371"
hay-than-el-montazah,4,"EGP 9,276","EGP 44,850","EGP 9,442","EGP 22,760","EGP 11,945","EGP 9,442"
hay-than-el-montazah,5,"EGP 18,333","EGP 18,333","EGP 18,333","EGP 18,333","EGP 18,333","EGP 18,333"
hay-wasat,2,"EGP 16,297","EGP 22,455","EGP 18,013","EGP 14,564","EGP 20,691","EGP 15,934"
hay-wasat,3,"EGP 16,161","EGP 21,750","EGP 15,075","EGP 17,910","EGP 15,230","EGP 17,730"
hay-wasat,4,"EGP 20,401","EGP 29,582","EGP 23,364","EGP 18,136","EGP 19,894","EGP 18,693"
hay-wasat,5,"EGP 7,333","EGP 34,776","EGP 7,333","EGP 20,958","EGP 12,617","EGP 15,208"
hay-wasat,6,"EGP 22,000","EGP 22,000","EGP 22,000","EGP 22,000","EGP 22,000","EGP 22,000"
