,hay-al-agami,hay-al-amereya,hay-awal-el-montazah,hay-gharb,hay-sharq,hay-than-el-montazah,hay-wasat,Date
0,1935.0068116283553,9927.809801754682,5816.471392856212,4206.007433795263,11258.696163791334,8252.58262782167,14723.599911929028,2017Q1
1,1729.3050201944945,10036.019365057778,5538.298999464288,4143.7866878542545,10842.366611037101,8186.252847563728,14732.09884122193,2017Q2
2,2207.4021469245035,10249.042936255097,6371.10630918137,4868.298366534768,11721.510155321597,8166.762250741656,15185.731568736834,2017Q3
3,2603.960351466452,10536.482672293383,6713.402832622034,6628.770643476822,13140.304363613574,8655.450240037171,14938.734531617458,2017Q4
4,2716.247754031319,10416.708971363327,6896.686327327018,5386.974108445586,12281.781371467123,8166.811577160675,15444.69556767152,2018Q1
5,2506.0928692772386,10598.853022916459,6800.215288228947,5499.51474065294,12074.202778988865,8203.045216102513,15625.532689738036,2018Q2
6,2600.463157827795,10655.28634735661,6857.481231349224,5612.567569110233,12152.042125716242,8211.57865759422,15689.493508181764,2018Q3
7,2861.0642903319167,10645.391628635862,6783.804785597416,6051.976296795101,12588.737097188972,8074.7028771926125,15415.508992585852,2018Q4
8,3029.816465441363,10555.664112169565,6825.938183336576,5588.4706469219445,12347.446740274445,7844.8947387735225,15522.102018735077,2019Q1
9,2821.8858358806287,10721.964640161528,6652.107235098848,5654.710606312024,12093.979503016037,7799.943717742272,15664.536032513466,2019Q2
10,3069.7319047158617,10933.37215072419,7290.386785957489,6222.672855998374,12628.429188109645,8388.311002875384,16044.786641930737,2019Q3
11,3246.055341834158,10802.134489990516,7211.357516501115,5559.104210776706,12219.776880924192,7964.718307134017,16120.621828835974,2019Q4
12,3558.51117222018,10905.592787064634,7317.806256845854,6330.347377407622,12897.45571886129,8092.68712971236,15966.81140135688,2020Q1
13,3048.8023077263874,11072.529409416966,6404.639490510337,5996.621214689538,11943.873978558706,7494.611617612262,15910.95761782453,2020Q2
14,3304.946880966265,11310.092380330867,6873.124279963905,6515.404046129127,12340.180215172015,7664.051835372702,16259.06640266069,2020Q3
15,3575.4101007133886,11170.461493579542,5726.712519678499,5427.2397201040585,10085.725144062842,5653.998669202167,16718.39896645075,2020Q4
16,3960.6424439761495,11521.825837896184,7625.80704870793,7212.3426932935945,13120.02408706543,8017.846409849287,16612.683253578,2021Q1
17,3633.9581193626714,11731.984882404453,7158.195528185584,7161.287241470683,12567.831934683578,7653.847433526296,16716.15235451166,2021Q2
18,3704.9152990399516,11961.89128245511,7334.62564164139,7516.3188302559365,12687.95532350018,7831.422247021466,16996.60910885291,2021Q3
19,3969.3042456659923,11591.48203812887,5983.666849508615,7411.937459626588,11316.892713278881,6227.680878204608,16824.182320972424,2021Q4
20,4352.899470946868,12269.788234470367,7871.4153863206575,8235.86606012952,13299.633291214715,7958.261879715914,17385.2456582366,2022Q1
21,4100.222137121067,12724.3738399878,7609.041629550383,8541.777639183103,12844.370893505547,7700.893838169709,17777.925848986783,2022Q2
22,4086.371074647102,12965.270384072526,7482.824655103985,8765.225655632818,12710.453588461382,7592.592187139895,17988.718642492222,2022Q3
23,4816.270265574118,13174.399296885624,8309.80668666495,9729.466863078258,13064.518360034152,7340.531754645315,17721.743494517992,2022Q4
24,5136.231913728794,13085.23434172859,8661.96874963105,10233.283750765515,13753.299993911769,8016.712918986903,19149.34370772389,2023Q1
25,5231.060798904166,14135.758171754274,9229.536975468869,11090.692713602128,14256.373572815233,8825.711715650577,19563.04310993239,2023Q2
26,5586.0583139014125,14144.32718800314,9512.760262437281,10753.249505406196,14490.057481590444,9269.766879014496,19244.80025801452,2023Q3
27,5814.5,13121.270833333332,10282.0,11815.583333333332,15437.494999999999,9749.625,19662.25,2023Q4
28,6833.835,15118.850833333334,11860.085,13626.498333333333,16897.44125,10934.0225,19706.0,2024Q1
29,6940.835,15580.940833333334,13623.835,14264.583333333334,18374.3425,12932.415,21268.085,2024Q2
30,7086.0,15860.67375,14857.335,14720.165,19785.317499999997,14490.835,23313.75,2024Q3
31,7188.5,15385.1875,14612.0,14335.125,19583.085,14010.0,22371.0,2024Q4
