,hay-al-agami,hay-al-amereya,hay-awal-el-montazah,hay-gharb,hay-sharq,hay-than-el-montazah,hay-wasat,Date
0,1935.0068116283553,7698.105989776832,7060.100588324615,4206.007433795263,11258.696163791334,8303.729783793018,12991.148037860181,2017Q1
1,1729.3050201944945,7660.302478582114,6877.09228456217,4143.7866878542545,10842.366611037101,8215.885569660051,12787.232726129516,2017Q2
2,2207.4021469245035,8127.6187546128,7445.535815657851,4868.298366534768,11721.510155321597,8519.965322134332,13453.620862029216,2017Q3
3,2603.960351466452,8676.987049713529,7723.058936831198,6628.770643476822,13140.304363613574,8732.715041040361,14039.519447615516,2017Q4
4,2716.247754031319,8491.156600377939,7836.302313474096,5386.974108445586,12281.781371467123,8775.918299621173,13863.238469569322,2018Q1
5,2506.0928692772386,8557.498330646169,7789.219439967439,5499.51474065294,12074.202778988865,8778.22359170593,13849.867734363452,2018Q2
6,2600.463157827795,8639.452645619102,7845.663169608575,5612.567569110233,12152.042125716242,8833.845107867926,13920.767816949003,2018Q3
7,2861.0642903319167,8743.485302087181,7783.781752817105,6051.976296795101,12588.737097188972,8783.758720036794,14002.123044887412,2018Q4
8,3029.816465441363,8674.013310816987,7812.437962159947,5588.4706469219445,12347.446740274445,8798.93774098332,13934.77437950476,2019Q1
9,2821.8858358806287,8715.774278716912,7707.114548572152,5654.710606312024,12093.979503016037,8762.121862045455,13879.257767764751,2019Q2
10,3069.7319047158617,9067.64088834229,8228.998317899073,6222.672855998374,12628.429188109645,9167.609849840659,14336.607915020191,2019Q3
11,3246.055341834158,8931.978967859339,8160.911337884583,5559.104210776706,12219.776880924192,9110.465159268051,14170.199354880082,2019Q4
12,3558.51117222018,9190.31568451233,8261.90474563783,6330.347377407622,12897.45571886129,9206.003234429807,14432.133560109085,2020Q1
13,3048.8023077263874,9007.227637414355,7611.381669115698,5996.621214689538,11943.873978558706,8818.123847721059,13927.415798191618,2020Q2
14,3304.946880966265,9347.377427521737,7974.572993148562,6515.404046129127,12340.180215172015,9076.021706333218,14299.623308916352,2020Q3
15,3575.4101007133886,9222.877570211935,7187.990882566966,5427.2397201040585,10085.725144062842,8649.269245455434,13402.062055256796,2020Q4
16,3960.6424439761495,9826.873557185982,8578.098875587872,7212.3426932935945,13120.02408706543,9530.390702467814,14866.353670321716,2021Q1
17,3633.9581193626714,9810.845649437368,8246.424081992896,7161.287241470683,12567.831934683578,9334.65263580021,14641.99214459762,2021Q2
18,3704.9152990399516,10044.933630150977,8422.803929973083,7516.3188302559365,12687.95532350018,9510.982218304776,14842.282216176545,2021Q3
19,3969.3042456659923,9949.226516098468,7495.361332228145,7411.937459626588,11316.892713278881,9007.055814947675,14070.537517125653,2021Q4
20,4352.899470946868,10560.949855945839,8885.108861310226,8235.86606012952,13299.633291214715,9898.802336299794,15342.439474725657,2022Q1
21,4100.222137121067,10786.074866319688,8734.36111882145,8541.777639183103,12844.370893505547,9859.680608092518,15311.148371246165,2022Q2
22,4086.371074647102,10951.396439211167,8686.025978265196,8765.225655632818,12710.453588461382,9889.227301426405,15349.586115476803,2022Q3
23,4816.270265574118,11360.469980013997,9134.660929122045,9729.466863078258,13064.518360034152,9959.515171579142,15393.130927276072,2022Q4
24,5136.231913728794,11901.023428486697,9714.699131555455,10233.283750765515,13753.299993911769,10767.429513479861,16451.32185081783,2023Q1
25,5231.060798904166,12505.13869854824,10218.071091815624,11090.692713602128,14256.373572815233,11206.605208162378,16909.70834137381,2023Q2
26,5586.0583139014125,12432.108816331316,10439.817706373713,10753.249505406196,14490.057481590444,11366.875150310143,16867.428869802483,2023Q3
27,5814.5,12603.401041666666,11012.0625,11815.583333333332,15437.494999999999,11742.125,17549.872499999998,2023Q4
28,6833.835,13821.296041666666,12175.685416666667,13626.498333333333,16897.44125,12491.285833333333,18301.720625,2024Q1
29,6940.835,14513.611041666667,13668.806666666667,14264.583333333334,18374.3425,13713.778333333334,19821.21375,2024Q2
30,7086.0,15245.1471875,14910.431666666667,14720.165,19785.317499999997,14963.528333333334,21549.53375,2024Q3
31,7188.5,14819.953125,14567.583333333332,14335.125,19583.085,14523.166666666666,20977.0425,2024Q4
