,hay-al-agami,hay-al-amereya,hay-awal-el-montazah,hay-gharb,hay-sharq,hay-than-el-montazah,hay-wasat,Date
0,3056.1932342914506,6834.84672404502,6928.2093334467445,5973.06372657449,7400.416288678946,5354.9927268592,9409.032115510408,2017Q1
1,2977.340699913512,6633.342064279881,6604.864022403774,5739.477625142493,7146.6020994520895,5046.003203725746,9191.443989807889,2017Q2
2,3267.326422135184,7374.389574724583,7793.9890681552515,6598.506886016238,8080.021571048059,6182.333833193179,9991.639573583036,2017Q3
3,3200.9097430621764,7204.664271347636,7521.638636774434,6401.759714132514,7866.236488767026,5922.0751343856755,9808.36733219108,2017Q4
4,3241.809889398397,7309.183043468808,7689.355129885507,6522.918860202381,7997.887773833292,6082.345401057704,9921.228462812478,2018Q1
5,3377.867358179023,7656.872742619642,8247.276887374366,6925.964037556422,8435.835855010944,6615.496716090549,10296.669656343573,2018Q2
6,3355.3907011834417,7599.4344984809795,8155.108364133148,6859.381083409919,8363.486950605156,6527.4202632347515,10234.64687284893,2018Q3
7,3094.514092119982,6932.774222248644,7085.349110776035,6086.582205775087,7523.765240452748,5505.15585959696,9514.775877534063,2018Q4
8,2988.026323731083,6660.648770509737,6648.6818449282855,5771.131816458043,7180.997480235168,5087.875615739156,9220.93023114141,2019Q1
9,3071.853200230994,6874.865172830157,6992.425107836116,6019.453489709349,7450.823312240356,5416.357468602999,9452.24471056815,2019Q2
10,3331.4401650406103,7538.229812103718,8056.896003302338,6788.432033909545,8286.393855746532,6433.568305273653,10168.557021584147,2019Q3
11,3136.8881176034533,7041.059436608414,7259.109441476699,6212.107447198824,7660.160715971853,5671.201631374281,9631.7040759256,2019Q4
12,2976.4195254464794,6630.988037880756,6601.08662391028,5736.748815546326,7143.6369804190645,5042.393513034933,9188.902072451554,2020Q1
13,2815.3982286092873,6219.504223313623,5940.797367247771,5259.752898136126,6625.334173446463,4411.419580281097,8744.574918563703,2020Q2
14,2962.970378227813,6596.619252453525,6545.936605905292,5696.90819544227,7100.346242536916,4989.692028949086,9151.790079049024,2020Q3
15,3010.0431062065304,6699.710221563954,6672.851673555639,5799.602697456363,7217.52033192798,5108.097112762245,9260.465145127248,2020Q4
16,2977.5249348069183,6633.812869559706,6605.619502102472,5740.023387061728,7147.1951232586935,5046.725141863908,9191.952373279159,2021Q1
17,2968.8658948168177,6611.685021407927,6570.111956263643,5714.372576857746,7119.323004348268,5012.794049370279,9168.058350129582,2021Q2
18,3076.5511900128577,6886.870707465697,7011.689840152929,6033.370418649808,7465.945419308778,5434.766891126135,9465.208489085475,2021Q3
19,3018.9897169321453,6722.4821305633795,6711.898166454546,5827.380640419272,7247.788779839413,5146.987636947812,9285.500291876246,2021Q4
20,2983.9731560761425,6650.291054353584,6632.06129155692,5759.125054234905,7167.9509564898635,5071.99297669959,9209.745794773524,2022Q1
21,3089.816102338119,6920.768687613102,7066.084378459223,6072.665276834629,7508.643133384326,5486.74643707382,9501.812099016737,2022Q2
22,3074.8930759722,6882.633459947269,7004.890522864644,6028.458561376705,7460.608205049337,5428.2694478826725,9460.633037844067,2022Q3
23,3360.2720441510446,7601.173227400624,8140.780228678876,6854.6571635135215,8361.98208906986,6516.000372200982,10236.047540838565,2022Q4
24,3456.1467698273095,7849.120506346692,8535.530182520819,7139.689916757214,8670.543402121253,6888.007555189306,10502.590293386178,2023Q1
25,3551.7850975546644,8101.312926774532,8960.449722945776,7441.163289312975,8995.650328445881,7297.006318515743,10776.583653220154,2023Q2
26,3754.375893308878,8616.722012045113,9785.617967823657,8038.1541860645375,9645.154753169627,8087.078428569173,11333.332234968992,2023Q3
27,3800.0,8662.5,9850.0,8087.5,9694.576666666668,8150.0,11378.328888888891,2023Q4
28,4016.67,9372.501666666665,10936.67,8845.83,10549.463333333333,9116.67,12140.47537037037,2024Q1
29,4416.67,10495.281666666668,12826.67,10137.5,12015.053333333335,10983.33,13370.192037037037,2024Q2
30,4800.0,11201.945,13956.67,11033.33,12897.382222222222,12066.67,14121.742037037038,2024Q3
31,4875.0,11433.333333333334,14450.0,11506.25,13282.407777777778,12625.0,14388.734814814816,2024Q4
