,hay-awal-el-montazah,hay-wasat,hay-al-amereyah,hay-sharq,hay-than-el-montazah,hay-gharb,hay-el-gomrok,hay-al-agami,Date
0,2540.613911736064,6635.795634074262,1157.6767778807293,1432.5036822206396,5041.340263244119,68.5970432573381,0.0,0.0,2009Q1
1,2567.117990599688,6665.744740192784,1191.3382688904112,1477.108547865784,5065.118242592368,118.35197280423336,0.0,0.0,2009Q2
2,2584.73108909434,6685.943628821994,1212.6064065731694,1512.062173147606,5082.199427162674,154.63377456033732,0.0,0.0,2009Q3
3,2602.6654514190973,6706.363122033018,1234.8116985284028,1545.004529573614,5098.954023607658,189.97285328911516,0.0,0.0,2009Q4
4,2628.4930468116963,6735.245972391847,1268.7355540099593,1583.0618777741902,5120.821975617314,235.1814473442846,0.0,0.0,2010Q1
5,2656.240830065438,6766.632364545335,1303.8579957387592,1630.331896885992,5145.8535580061025,287.6176472564496,0.0,0.0,2010Q2
6,2696.467415235387,6811.908469200998,1355.613512997179,1694.8200375849283,5181.169042505877,361.1883054592638,0.0,0.0,2010Q3
7,2733.7545094853167,6853.687887936109,1404.2863321076638,1751.2234348204602,5213.091436724605,427.34009716688206,0.0,0.0,2010Q4
8,2746.5376640792015,6868.84833949243,1417.862215320512,1785.5625476565147,5227.649712800692,459.1063087614225,0.0,0.0,2011Q1
9,2764.8376063611095,6889.759036228994,1440.2416371597994,1820.519620271454,5245.069445816111,495.979405536204,0.0,0.0,2011Q2
10,2793.4849346194696,6922.3570552456,1475.7814456151598,1872.8005885406437,5271.750554229641,552.2225867518605,0.0,0.0,2011Q3
11,2807.293313088864,6937.793004885774,1493.940191442387,1893.0422716383512,5283.416620288566,576.3290140203649,0.0,0.0,2011Q4
12,2827.151471068342,6959.902401956041,1520.3869814897034,1920.5498109996142,5299.807804738926,610.0264116927046,0.0,0.0,2012Q1
13,2854.897284088186,6991.2365411535,1555.692785817196,1966.920114580492,5324.621660252599,661.9159229252878,0.0,0.0,2012Q2
14,2901.0537153476052,7043.472688531501,1614.017825085317,2046.0309696570544,5366.375358937624,749.4404723345306,0.0,0.0,2012Q3
15,2948.7703273264206,7096.902808403566,1676.4369368711175,2117.57525664052,5407.073477577787,833.7128606177625,0.0,0.0,2012Q4
16,3019.5885679564053,7177.199119370944,1765.3652856808712,2241.650445650301,5471.7862974009095,969.6193392509786,0.0,0.0,2013Q1
17,3084.5486870173827,7250.8159226964435,1847.0797403102854,2354.7834019003985,5530.9820157211025,1093.8835837216693,0.0,0.0,2013Q2
18,3144.2244623353117,7318.925432377821,1920.3538588503375,2467.350338669079,5587.443885485722,1213.254731573566,0.0,0.0,2013Q3
19,3190.1089651933917,7370.507516167251,1979.616200523884,2539.8047695865025,5627.461054976796,1296.4932275226856,0.0,0.0,2013Q4
20,3253.89111513676,7441.966323376619,2062.901954190182,2636.1508832415584,5682.033985881436,1409.5641430368796,0.0,0.0,2014Q1
21,3334.3947346828127,7532.724161687713,2165.9258309206675,2767.8728350288343,5753.351108337471,1558.414532515591,0.0,0.0,2014Q2
22,3404.065064328782,7611.847399691099,2252.930186486529,2892.253052841112,5817.573734772412,1693.5047695120256,0.0,0.0,2014Q3
