,hay-al-agami,hay-al-amereya,hay-than-el-montazah,hay-sharq,hay-gharb,hay-awal-el-montazah,hay-wasat,Date
0,1935.0068116280165,7698.105989776569,8303.729783792902,11428.675286504018,5633.05401105961,7060.1005883245525,13076.13759921652,2017Q1
1,1729.305020194151,7660.302478581997,8215.885569659933,11263.450340639245,5510.439486208183,6877.09228456211,12997.774590930581,2017Q2
2,2207.4021469241407,8127.618754612518,8519.965322134207,11809.069015397114,6156.917091095957,7445.535815657784,13497.400292066966,2017Q3
3,2603.9603514661376,8676.987049713283,8732.715041040252,12270.584645423389,7175.914790153705,7723.058936831139,13604.659588520419,2017Q4
4,2716.2477540310397,8491.15660037772,8775.918299621108,12167.465079586249,6611.638210959577,7836.302313474058,13806.08032362888,2018Q1
5,2506.0928692768857,8557.498330645894,8778.223591705852,12159.3196868105,6644.367090309859,7789.219439967395,13892.426188274263,2018Q2
6,2600.4631578274643,8639.452645618845,8833.845107867852,12225.126913921558,6729.115369359093,7845.663169608535,13957.310211051656,2018Q3
7,2861.0642903316966,8743.485302087012,8783.758720036743,12262.668269936927,6917.879024805895,7783.781752817076,13839.088631261384,2018Q4
8,3029.816465441215,8674.01331081687,8798.937740983285,12222.828833330756,6700.454304540804,7812.437962159927,13872.465426032912,2019Q1
9,2821.8858358804237,8715.77427871675,8762.121862045407,12173.545799191388,6680.9125774418935,7707.1145485721245,13919.04091585242,2019Q2
10,3069.7319047156116,9067.640888342097,9167.609849840605,12613.608559960032,7225.835586948489,8228.998317899044,14329.19760094538,2019Q3
11,3246.055341834011,8931.978967859222,9110.465159268013,12483.621289675883,6860.007774330503,8160.91133788456,14302.121559255924,2019Q4
12,3558.511172220119,9190.315684512278,9206.003234429789,12690.090118215909,7296.126061522665,8261.904745637818,14328.450759786392,2020Q1
13,3048.8023077263015,9007.227637414286,8818.12384772103,12224.318481367984,6804.001441902532,7611.381669115679,14067.638049596255,2020Q2
14,3304.946880966171,9347.377427521662,9076.021706333197,12558.422774721854,7244.988519638753,7974.5729931485475,14408.74458869127,2020Q3
15,3575.4101007133872,9222.877570211933,8649.269245455433,11817.797785323006,6307.61530133551,7187.9908825669645,14268.098375886879,2020Q4
16,3960.642443976149,9826.87355718598,9530.39070246781,13087.699347703747,7895.2207844407285,8578.098875587866,14850.191300640874,2021Q1
17,3633.9581193626254,9810.845649437328,9334.652635800197,12872.878974998423,7703.855661731743,8246.424081992885,14794.51566475504,2021Q2
18,3704.9152990398843,10044.933630150925,9510.982218304758,13065.182216885869,7969.561380114445,8422.803929973072,15030.895662869389,2021Q3
19,3969.3042456659914,9949.226516098468,9007.055814947673,12382.710283066326,7453.649395927363,7495.361332228142,14603.446302019376,2021Q4
20,4352.899470946928,10560.949855945884,9898.802336299805,13527.893761917112,8560.487460719927,8885.10886131023,15456.569710076856,2022Q1
21,4100.222137121056,10786.074866319677,9859.680608092514,13493.992450194934,8638.069379002263,8734.361118821447,15635.959149590857,2022Q2
22,4086.3710746470974,10951.396439211161,9889.227301426401,13529.466510793327,8725.625816948997,8686.025978265188,15759.092576642772,2022Q3
23,4816.270265574118,11360.469980013997,9959.515171579142,13581.925675377095,9432.06389610015,9134.660929122045,15651.834584947544,2022Q4
24,5136.231913728794,11901.023428486695,10767.42951347986,14556.69107170517,9973.991441160484,9714.699131555453,16853.01738971453,2023Q1
25,5231.06079890419,12505.138698548257,11206.60520816238,15008.673963636696,10654.381902708894,10218.071091815622,17285.858536784544,2023Q2
26,5586.058313901412,12432.108816331316,11366.875150310143,15033.910963305034,10596.533605889952,10439.81770637371,17139.35561065978,2023Q3
27,5814.5,12603.401041666666,11742.125,15613.956666666665,11413.822916666666,11012.0625,17638.103333333333,2023Q4
28,6833.835,13821.296041666666,12491.285833333333,16364.909027777778,12901.091875,12175.685416666667,18035.45451388889,2024Q1
29,6940.835,14513.611041666667,13713.778333333334,17785.401944444446,13966.695,13668.806666666667,19526.743472222224,2024Q2
30,7086.0,15245.1471875,14963.528333333334,19354.19861111111,14815.298333333334,14910.431666666667,21333.974305555555,2024Q3
31,7188.5,14819.953125,14523.166666666666,18825.750555555554,14451.354166666666,14567.583333333332,20598.375277777777,2024Q4
