,EGY-GDP's Real Estate Activitie,Domestic Liquidity,Money Supply,Aqarmap's Index,Inflation Rate (Core),EGY-GDP-Martet-Prices' Gross Domestic Product at market prices,Date
0,53928.13042756927,980111.6666666666,236581.0,1846.730849793029,0.2294333333333333,1288.63,2011Q1
1,54172.73348864382,996878.0,244870.66666666666,1864.0017640767887,0.6126666666666667,1309.8,2011Q2
2,54614.11958408245,1022571.6666666666,256095.66666666666,1886.0884226742146,1.1849999999999998,1193.88,2011Q3
3,54945.75273199621,1033833.6666666666,257949.0,1886.6638977701652,0.26,1277.79,2011Q4
4,55461.05376871606,1049667.0,259464.66666666666,1884.2436946588077,0.7283333333333334,1291.98,2012Q1
5,55990.81911163269,1073586.3333333333,267276.3333333333,1896.9715274764442,0.10466666666666669,1315.03,2012Q2
6,56824.99295815,1113824.3333333333,281686.3333333333,1756.0,0.16733333333333333,1255.96,2012Q3
7,57932.697462612385,1153103.3333333333,289236.3333333333,1721.3333333333333,0.4546666666666667,1320.47,2012Q4
8,59147.77686394936,1215450.0,313278.3333333333,1757.0,1.5579999999999998,1329.7,2013Q1
9,60278.832114149816,1272486.6666666667,334845.3333333333,1572.5,0.5803333333333334,1343.97,2013Q2
10,61110.54992137313,1326837.6666666667,360853.3333333333,1721.0,0.96,1280.57,2013Q3
11,62087.81612096072,1365435.3333333333,370736.3333333333,1949.0,0.6813333333333333,1342.13,2013Q4
12,63551.19432696615,1418100.0,381340.0,2043.3333333333333,0.9420000000000001,1351.11,2014Q1
13,65155.926281364955,1486863.0,401982.3333333333,2011.0,0.231,1364.53,2014Q2
14,66295.46510671616,1548722.0,427295.3333333333,2362.3333333333335,1.079,1324.88,2014Q3
15,67004.97586771281,1579927.3333333333,437082.0,2236.5,0.23,1411.11,2014Q4
16,60902.0,1649050.0,452318.6666666667,2317.3333333333335,0.7926666666666667,1427.18,2015Q1
17,52607.7,1728652.0,480480.6666666667,2142.0,0.49666666666666665,1435.76,2015Q2
18,59745.2,1822971.0,510218.6666666667,2385.6666666666665,0.287,1368.21,2015Q3
19,63893.8,1883488.6666666667,518335.0,2217.3333333333335,0.762,1458.1,2015Q4
20,71069.3,1939982.0,523410.6666666667,2179.0,1.1613333333333333,1500.25,2016Q1
21,63993.4,2048475.0,555359.3333333334,2302.0,1.7093333333333334,1493.9,2016Q2
22,68931.5,2151503.6666666665,593251.6666666666,2646.6666666666665,0.7506666666666666,1418.97,2016Q3
23,75919.8,2482654.0,620144.6666666666,2625.3333333333335,4.165333333333334,1522.99,2016Q4
24,91939.0,2690881.6666666665,629138.0,2664.6666666666665,2.858,1551.6,2017Q1
25,85056.53,2850788.3333333335,681957.0,2522.0,1.6273333333333333,1552.5,2017Q2
26,99464.13,2998358.0,718525.0,3046.6666666666665,1.0896666666666668,1481.7,2017Q3
27,109395.07,3143779.3333333335,729902.3333333334,2926.5,0.5479999999999999,1599.1,2017Q4
28,122774.83,3297542.3333333335,751369.6666666666,3000.5,0.421,1632.3,2018Q1
29,110275.58,3411714.0,800128.6666666666,3246.6666666666665,1.4163333333333334,1634.8,2018Q2
30,115347.64,3510292.3333333335,830928.3333333334,3206.0,0.36666666666666664,1561.7,2018Q3
31,130243.82,3591213.3333333335,830941.3333333334,2734.0,0.4693333333333333,1685.6,2018Q4
32,143879.37,3679827.3333333335,845190.6666666666,2541.3333333333335,0.6143333333333333,1719.1,2019Q1
33,132959.32,3807644.3333333335,904667.3333333334,2693.0,0.6253333333333334,1724.7,2019Q2
34,137780.22,3941569.3333333335,942225.0,3162.6666666666665,-0.8363333333333333,1649.6,2019Q3
35,154793.38,4062560.3333333335,961010.6666666666,2810.6666666666665,0.395,1782.5,2019Q4
36,169295.33,4201263.666666667,1007605.3333333334,2520.3333333333335,0.4543333333333333,1815.1,2020Q1
37,150795.73,4447769.0,1078859.0,2229.0,0.3173333333333333,1821.1,2020Q2
38,158690.09,4688827.0,1126562.0,2496.0,-0.09066666666666667,1732.5,2020Q3
39,180674.08,4857452.666666667,1139646.0,2610.3333333333335,0.5713333333333334,1753.0,2020Q4
40,187518.87,5038184.0,1162447.3333333333,2522.3333333333335,0.4123333333333334,1827.4,2021Q1
41,173340.77,5265997.0,1226166.0,2506.6666666666665,0.37333333333333335,1856.6,2021Q2
42,174499.41,5496818.666666667,1307925.0,2701.5,0.229,1781.8,2021Q3
43,190421.2,5738228.333333333,1363429.0,2557.3333333333335,0.9283333333333333,1887.3,2021Q4
44,206389.0,6035304.666666667,1416633.3333333333,2534.0,1.6913333333333334,2006.3,2022Q1
45,192316.22,6510442.0,1507049.6666666667,2725.5,1.729,2010.2,2022Q2
46,193138.07,6822310.666666667,1624707.3333333333,2698.5,1.2183333333333335,1877.4,2022Q3
47,223242.56,7300471.0,1699175.3333333333,3056.0,2.732333333333333,1948.6,2022Q4
48,240987.6,7833051.666666667,1727897.6666666667,3473.0,5.659,2093.7,2023Q1
49,234770.7,8152624.0,1980311.3333333333,3561.3333333333335,2.0896666666666666,2089.6,2023Q2
50,242714.5,8453993.0,2136003.0,3848.0,0.919,1949.7,2023Q3
51,271058.4,8782600.0,2323706.0,4434.0,1.3646666666666665,2004.4,2023Q4
52,283446.41,9365793.333333334,2479202.0,4965.0,5.630666666666667,2149.22,2024Q1
53,273429.53,10355013.666666666,2585850.0,5080.0,0.27466666666666667,2137.43,2024Q2
54,277045.69,10920287.0,2718543.0,5526.0,0.47,1992.94,2024Q3
55,300489.76,11408634.666666666,2785551.0,5474.0,0.8776666666666667,2053.03,
56,129003.06459579695,3893232.623062874,953584.7647378641,2701.5521235321544,1.3170476378673706,2225.1,2024Q4
57,129003.11808419442,3893234.5508830436,953585.184619255,2701.55254147156,1.3190450452479945,2229.25,2025Q1
