,Date,Lower Bound,Upper Bound,Point Estimation
0,2025Q2,1654.2109,7969.8237,4812.0176
1,2025Q3,5363.025,8522.054,6942.539
2,2025Q4,9183.592,16329.121,12756.356
3,2026Q1,12462.63,17775.36,15118.995
4,2026Q2,14442.28,19308.203,16875.242
5,2026Q3,15072.694,19130.742,17101.719
6,2026Q4,15524.229,19335.36,17429.793
7,2027Q1,15018.414,20298.787,17658.6
8,2027Q2,15597.788,20545.559,18071.674
9,2027Q3,16262.434,20926.924,18594.678
10,2027Q4,16648.914,21186.59,18917.752
11,2028Q1,15770.207,21943.098,18856.652
