,Date,Lower Bound,Upper Bound,Point Estimation
0,2025Q2,13096.685,15108.817,14102.751
1,2025Q3,13363.283,15726.542,14544.912
2,2025Q4,13032.92,16739.666,14886.293
3,2026Q1,13583.963,15891.623,14737.793
4,2026Q2,13637.544,15990.93,14814.236
5,2026Q3,13605.734,16191.629,14898.682
6,2026Q4,13496.231,16486.006,14991.119
7,2027Q1,16591.93,20748.166,18670.047
8,2027Q2,20210.188,24065.738,22137.963
9,2027Q3,21893.94,26280.129,24087.033
10,2027Q4,23290.648,28435.719,25863.184
11,2028Q1,22701.102,27907.049,25304.074
