,Date,Lower Bound,Upper Bound,Point Estimation
0,2025Q2,3568.201,10462.651,7015.4263
1,2025Q3,5585.997,11655.374,8620.686
2,2025Q4,7068.555,14776.909,10922.731
3,2026Q1,9396.861,18738.34,14067.601
4,2026Q2,9293.848,20243.094,14768.472
5,2026Q3,8448.312,22197.822,15323.066
6,2026Q4,9307.913,24530.639,16919.277
7,2027Q1,17440.4,31180.361,24310.38
8,2027Q2,21269.287,37174.273,29221.781
9,2027Q3,22812.299,38672.715,30742.508
10,2027Q4,21500.34,38609.77,30055.055
11,2028Q1,22120.328,39206.48,30663.404
