,Date,Lower Bound,Upper Bound,Point Estimation
0,2025Q2,14252.555,19189.533,16721.045
1,2025Q3,18842.58,24942.875,21892.727
2,2025Q4,19680.521,32221.229,25950.875
3,2026Q1,25497.05,32362.57,28929.81
4,2026Q2,27445.79,33753.715,30599.752
5,2026Q3,26726.164,34230.93,30478.547
6,2026Q4,25990.785,34989.67,30490.229
7,2027Q1,27594.074,35933.805,31763.941
8,2027Q2,26978.926,36736.984,31857.955
9,2027Q3,26595.395,37577.215,32086.305
10,2027Q4,25753.602,38350.555,32052.078
11,2028Q1,26410.2,39738.207,33074.203
