,Date,Lower Bound,Upper Bound,Point Estimation
0,2025Q2,12244.87,17775.752,15010.311
1,2025Q3,11712.973,16068.821,13890.897
2,2025Q4,9897.043,14667.014,12282.028
3,2026Q1,10097.849,13235.821,11666.835
4,2026Q2,10085.117,13247.698,11666.408
5,2026Q3,9988.703,13430.197,11709.45
6,2026Q4,9824.472,13752.752,11788.611
7,2027Q1,13823.934,20592.48,17208.207
8,2027Q2,20096.67,25738.557,22917.613
9,2027Q3,22487.92,30282.322,26385.121
10,2027Q4,24872.23,33211.8,29042.016
11,2028Q1,25874.477,33073.152,29473.814
