,Date,Lower Bound,Upper Bound,Point Estimation
0,2025Q2,18311.268,20819.22,19565.244
1,2025Q3,18530.596,20645.348,19587.97
2,2025Q4,18213.795,20712.084,19462.94
3,2026Q1,17681.645,19476.725,18579.186
4,2026Q2,17297.652,18963.125,18130.389
5,2026Q3,17119.387,19033.2,18076.293
6,2026Q4,17516.2,19865.947,18691.074
7,2027Q1,19097.803,21816.09,20456.945
8,2027Q2,20420.52,24492.25,22456.385
9,2027Q3,22022.87,26580.549,24301.709
10,2027Q4,23541.732,28221.46,25881.596
11,2028Q1,23705.17,27707.926,25706.549
