,Date,Lower Bound,Upper Bound,Point Estimation
0,2025Q2,22129.523,28185.303,25157.414
1,2025Q3,22838.38,26791.375,24814.879
2,2025Q4,21909.951,26622.367,24266.158
3,2026Q1,21981.715,27347.055,24664.385
4,2026Q2,22151.564,27402.795,24777.18
5,2026Q3,23095.873,27344.629,25220.252
6,2026Q4,23939.22,28058.498,25998.86
7,2027Q1,26068.227,32825.76,29446.994
8,2027Q2,29041.332,34456.42,31748.877
9,2027Q3,31930.502,36928.88,34429.69
10,2027Q4,34691.207,40238.203,37464.707
11,2028Q1,36965.902,44372.81,40669.355
