,Date,Lower Bound,Upper Bound,Point Estimation
0,2025Q2,123.70605,1156.3771,640.04156
1,2025Q3,257.72983,981.08954,619.40967
2,2025Q4,80.60714,897.68353,489.14532
3,2026Q1,490.67508,1441.9962,966.33563
4,2026Q2,905.0725,1685.2361,1295.1543
5,2026Q3,688.0886,1901.6583,1294.8735
6,2026Q4,1007.0959,2133.301,1570.1985
7,2027Q1,1327.7659,2332.9285,1830.3472
8,2027Q2,1407.5857,2322.828,1865.2068
9,2027Q3,1415.9535,2353.5479,1884.7507
10,2027Q4,1376.6804,2404.064,1890.3722
11,2028Q1,1601.8843,2652.0608,2126.9727
