,Date,Lower Bound,Upper Bound,Point Estimation
0,2025Q2,1814.2624560962715,5267.481888772456,3540.8721724343636
1,2025Q3,5091.2395611326265,7012.342600581898,6051.791080857262
2,2025Q4,10781.570871536456,13649.500149106745,12215.5355103216
3,2026Q1,11950.117562832424,14962.66890246015,13456.393232646287
4,2026Q2,12496.295517468196,15925.30090531957,14210.798211393883
5,2026Q3,12352.431083053012,15821.077137679931,14086.754110366472
6,2026Q4,12334.044005003376,15866.937413291376,14100.490709147376
7,2027Q1,12295.282882629315,15805.85885274433,14050.570867686823
8,2027Q2,12271.55546719232,15832.916936597077,14052.236201894699
9,2027Q3,12301.895937180727,15923.248404952488,14112.572171066608
10,2027Q4,12509.62492333628,16041.892931612303,14275.758927474291
11,2028Q1,13258.97197330258,19177.889348355864,16218.430660829223
