,Date,Lower Bound,Upper Bound,Point Estimation
0,2025Q2,10784.95855292134,14974.060960795976,12879.509756858659
1,2025Q3,11963.157000809062,16461.024560058362,14212.090780433713
2,2025Q4,12329.445864070309,15418.862795454583,13874.154329762445
3,2026Q1,12857.48109358348,14900.312265896084,13878.896679739782
4,2026Q2,12409.730077837963,13942.460230249968,13176.095154043966
5,2026Q3,12484.656845941847,14185.094637534681,13334.875741738264
6,2026Q4,14890.46156014501,16539.409852015524,15714.935706080267
7,2027Q1,16749.50781624841,19505.90425060741,18127.706033427912
8,2027Q2,17815.397121299582,19494.104188787747,18654.750655043663
9,2027Q3,19559.28563612222,23617.107178449267,21588.19640728574
10,2027Q4,20090.914688965706,23764.206945012626,21927.560816989168
11,2028Q1,19990.889776395987,23003.23109751727,21497.060436956628
