,Date,Lower Bound,Upper Bound,Point Estimation
0,2025Q2,4126.363830043499,15577.653201250105,9852.008515646801
1,2025Q3,8041.6342166849445,19225.65480435293,13633.644510518936
2,2025Q4,11805.792101614084,19954.31816940079,15880.055135507439
3,2026Q1,13199.291376195839,18293.608766941055,15746.450071568446
4,2026Q2,15285.120085121605,17443.527329594755,16364.32370735818
5,2026Q3,16514.281492949434,20273.189006727815,18393.735249838624
6,2026Q4,16604.90856211324,23092.269334551333,19848.588948332286
7,2027Q1,19241.69060218531,25632.242932920497,22436.966767552905
8,2027Q2,19994.78882447551,25865.723963225373,22930.256393850443
9,2027Q3,21030.59942474376,30043.590902798882,25537.09516377132
10,2027Q4,22293.104507004195,33696.80803663757,27994.956271820884
11,2028Q1,25030.28281991694,43245.82828235888,34138.05555113791
