,Date,Lower Bound,Upper Bound,Point Estimation
0,2025Q2,17373.80011858844,20056.85580191444,18715.327960251438
1,2025Q3,18374.24448085066,19974.56117058064,19174.40282571565
2,2025Q4,18889.034312429496,22467.48200336848,20678.25815789899
3,2026Q1,20477.84542116994,24188.912428371572,22333.378924770757
4,2026Q2,21633.920042931255,26483.880738853386,24058.900390892322
5,2026Q3,24632.765837971616,29108.067327814442,26870.416582893027
6,2026Q4,27867.3142415048,33367.8790610948,30617.5966512998
7,2027Q1,27835.16518232815,33027.619792015634,30431.392487171892
8,2027Q2,27841.22863924216,33038.110234081934,30439.669436662043
9,2027Q3,27841.22863924216,33038.110234081934,30439.669436662043
10,2027Q4,27919.881535470508,33305.86962990267,30612.87558268659
11,2028Q1,29119.353125759775,38242.663038732506,33681.00808224614
