,Date,Lower Bound,Upper Bound,Point Estimation
0,2025Q2,12387.91554319512,15197.982836196534,13792.949189695826
1,2025Q3,12746.30458462094,14679.486220919558,13712.89540277025
2,2025Q4,13188.597079331497,14969.711134886862,14079.15410710918
3,2026Q1,14097.277968263572,15959.877444414291,15028.57770633893
4,2026Q2,13335.65462399579,16528.185531159168,14931.92007757748
5,2026Q3,13549.696343993151,15941.535220162112,14745.615782077632
6,2026Q4,16152.529285561512,18726.760263273183,17439.64477441735
7,2027Q1,18716.81425365763,22750.7573327747,20733.785793216168
8,2027Q2,23830.884564029267,28754.23214460567,26292.55835431747
9,2027Q3,24915.50222306859,28759.550008956576,26837.52611601258
10,2027Q4,26648.848886925312,28884.282398470044,27766.56564269768
11,2028Q1,26907.15272061058,32788.45184743667,29847.802284023623
