,Date,Lower Bound,Upper Bound,Point Estimation
0,2025Q2,19009.793534433094,20609.602925784966,19809.69823010903
1,2025Q3,19425.581591144088,20868.08262106468,20146.832106104386
2,2025Q4,19010.20973247234,20569.167257177163,19789.688494824753
3,2026Q1,19643.207967529746,20405.626795187734,20024.41738135874
4,2026Q2,19610.619977482573,20308.478204827577,19959.549091155077
5,2026Q3,19643.264737121823,20658.279411788033,20150.77207445493
6,2026Q4,19306.043351797234,20588.238827622616,19947.141089709923
7,2027Q1,19949.75626918062,21388.51097173644,20669.133620458528
8,2027Q2,21483.522104826585,23347.61363825769,22415.567871542138
9,2027Q3,22935.26734228907,25231.65244614822,24083.459894218642
10,2027Q4,23816.69048763426,26250.945908138907,25033.818197886583
11,2028Q1,24093.80966187778,26041.85375607755,25067.83170897767
