,Date,Lower Bound,Upper Bound,Point Estimation
0,2025Q2,22432.19516939904,27594.924702931126,25013.559936165082
1,2025Q3,23681.9713955343,25642.59314522121,24662.282270377757
2,2025Q4,23890.83873433008,25365.92979307163,24628.384263700853
3,2026Q1,24960.851465722328,27247.174227684547,26104.012846703437
4,2026Q2,24931.935120431444,26871.03270988258,25901.483915157012
5,2026Q3,24800.870498614397,28106.07525106383,26453.472874839114
6,2026Q4,25930.43490842272,30782.78382946128,28356.609368942
7,2027Q1,27577.30480335337,29761.801155276913,28669.55297931514
8,2027Q2,28635.155457084442,32087.19048567961,30361.172971382024
9,2027Q3,30805.39052609786,34072.44252901576,32438.916527556812
10,2027Q4,30939.98614669446,34334.23085787917,32637.108502286814
11,2028Q1,31230.65243625335,37413.66994592201,34322.16119108768
