,Date,Lower Bound,Upper Bound,Point Estimation
0,2025Q2,13665.801,17250.395,15458.098
1,2025Q3,13793.152,18808.062,16300.607
2,2025Q4,13814.74,22139.34,17977.04
3,2026Q1,16069.341,22958.875,19514.11
4,2026Q2,15960.022,24149.682,20054.852
5,2026Q3,15567.129,25772.754,20669.941
6,2026Q4,15043.837,27639.451,21341.645
7,2027Q1,15225.761,25293.303,20259.533
8,2027Q2,18336.277,28763.734,23550.006
9,2027Q3,21810.416,37581.312,29695.863
10,2027Q4,23460.057,46543.855,35001.957
11,2028Q1,26018.129,44463.453,35240.793
