,Date,Lower Bound,Upper Bound,Point Estimation
0,2025Q2,6812.043918230139,13221.84373957719,10016.943828903666
1,2025Q3,5597.435731828843,12952.197251023597,9274.81649142622
2,2025Q4,9640.73930206812,17000.704556786535,13320.721929427327
3,2026Q1,22156.011244039342,29521.17947421323,25838.595359126284
4,2026Q2,22800.110004702812,29234.793954933855,26017.451979818336
5,2026Q3,24780.003763968572,30724.62533175789,27752.31454786323
6,2026Q4,24644.790125352847,31744.37989591694,28194.585010634895
7,2027Q1,24271.780040854188,30622.80096099864,27447.290500926414
8,2027Q2,24244.49401666714,30623.77670275638,27434.13535971176
9,2027Q3,24244.49401666714,30623.77670275638,27434.13535971176
10,2027Q4,24256.94522115734,31526.377444500464,27891.661332828902
11,2028Q1,26852.382124811138,32307.545608909757,29579.963866860446
