,Date,Lower Bound,Upper Bound,Point Estimation
0,2025Q2,61451.84458179956,69767.01374970199,65609.42916575077
1,2025Q3,60957.96653840945,70538.87563335618,65748.42108588282
2,2025Q4,63847.40145948248,69842.04560980934,66844.72353464592
3,2026Q1,61169.46638619002,67257.68263580889,64213.57451099946
4,2026Q2,58933.95390815507,66255.65820665806,62594.80605740656
5,2026Q3,58904.53620109681,66406.32022220561,62655.42821165121
6,2026Q4,52784.978742136256,60472.39397970942,56628.68636092284
7,2027Q1,49361.59617409508,55018.79203634045,52190.194105217764
8,2027Q2,48864.410142473374,57511.82117773884,53188.11566010611
9,2027Q3,51884.56088750605,61420.9841958186,56652.77254166232
10,2027Q4,48633.98216571815,55766.04895558886,52200.01556065351
11,2028Q1,48753.00329370825,56277.08837989325,52515.045836800746
