,Date,Lower Bound,Upper Bound,Point Estimation
0,2025Q2,20513.680082831124,23905.960880392606,22209.820481611867
1,2025Q3,21573.170396308233,24584.765297128404,23078.96784671832
2,2025Q4,23038.823743081848,25537.806565506988,24288.315154294418
3,2026Q1,22545.151965141802,24937.685337437968,23741.418651289885
4,2026Q2,22572.09633954992,24834.251620927706,23703.173980238815
5,2026Q3,22587.60598448622,25060.906170926566,23824.256077706395
6,2026Q4,21835.651401289055,24640.282358534325,23237.966879911688
7,2027Q1,22076.609793641914,25277.140996671864,23676.875395156887
8,2027Q2,24510.394836666776,26384.851995080524,25447.62341587365
9,2027Q3,25298.800404308116,27371.00390134663,26334.902152827373
10,2027Q4,23860.22944751616,26900.288140037366,25380.258793776764
11,2028Q1,23583.03781258921,25841.79378562138,24712.415799105296
