,Date,Lower Bound,Upper Bound,Point Estimation
0,2025Q2,4013.5064990936867,5468.9025366263295,4741.204517860008
1,2025Q3,5011.441976032629,6404.4716857396315,5707.956830886131
2,2025Q4,5225.334196466754,6532.223144279382,5878.778670373068
3,2026Q1,5413.340405422933,6939.080537578197,6176.210471500565
4,2026Q2,6722.801145541038,7655.18824797826,7188.994696759649
5,2026Q3,6777.821001527881,7910.273863429455,7344.047432478668
6,2026Q4,7106.3312286217115,8339.69821406622,7723.014721343967
7,2027Q1,7195.371933521922,8366.78067932961,7781.076306425766
8,2027Q2,7781.020385186207,8975.579966343457,8378.300175764833
9,2027Q3,8768.27879366461,10107.220568957038,9437.749681310825
10,2027Q4,9268.15398757569,10821.873541300836,10045.013764438263
11,2028Q1,10025.701141275886,12654.23934369585,11339.970242485868
