,Date,Lower Bound,Upper Bound,Point Estimation
0,2025Q2,18734.308647690297,19978.011183613464,19356.15991565188
1,2025Q3,17925.03947322472,20553.490293682054,19239.264883453387
2,2025Q4,20769.42903604078,22185.4993995227,21477.46421778174
3,2026Q1,25040.298388319818,26636.899917950188,25838.599153135
4,2026Q2,25022.146454861315,26645.61386666286,25833.880160762088
5,2026Q3,25095.832617503456,26657.55679013437,25876.694703818914
6,2026Q4,25636.2087169451,27688.631252279083,26662.419984612094
7,2027Q1,25320.069665264353,27185.216095759926,26252.64288051214
8,2027Q2,25289.30041758594,27170.39629981985,26229.848358702897
9,2027Q3,25303.184375999306,27172.33037713404,26237.757376566675
10,2027Q4,25309.727306565423,27151.40746657646,26230.567386570943
11,2028Q1,25567.44289076275,28855.245518632637,27211.344204697692
