,Date,Lower Bound,Upper Bound,Point Estimation
0,2025Q2,31115.41450816304,36022.070070443064,33568.74228930305
1,2025Q3,33324.431440129556,35697.3464556044,34510.88894786698
2,2025Q4,32476.553644811633,34168.089761243966,33322.3217030278
3,2026Q1,33206.05672252144,34611.306784860346,33908.68175369089
4,2026Q2,33633.580747310814,35859.92759416596,34746.754170738386
5,2026Q3,32549.44470078048,34715.28988579303,33632.367293286756
6,2026Q4,32803.04950246544,34940.913088545676,33871.98129550556
7,2027Q1,33770.18603931789,36051.567308685495,34910.87667400169
8,2027Q2,33743.578566307486,36344.171514093105,35043.8750402003
9,2027Q3,33924.27292037942,36362.04759719593,35143.16025878768
10,2027Q4,33864.57789134713,35916.37883218948,34890.478361768306
11,2028Q1,35339.331361260745,38413.6504919961,36876.49092662842
