,Date,Lower Bound,Upper Bound,Point Estimation
0,2025Q2,3310.3252,6161.0645,4735.695
1,2025Q3,4640.1846,7017.2266,5828.7056
2,2025Q4,5317.8853,7991.2485,6654.567
3,2026Q1,5850.826,7872.917,6861.8716
4,2026Q2,6480.004,8227.02,7353.5117
5,2026Q3,7340.8716,9026.325,8183.598
6,2026Q4,7672.8237,10209.675,8941.249
7,2027Q1,7998.4644,10890.966,9444.715
8,2027Q2,8961.139,11304.263,10132.7
9,2027Q3,9839.586,11654.438,10747.013
10,2027Q4,10382.596,12473.601,11428.098
11,2028Q1,9873.319,13519.283,11696.301
