,Date,Lower Bound,Upper Bound,Point Estimation
0,2025Q2,20579.004,21548.521,21063.762
1,2025Q3,20298.562,21188.924,20743.742
2,2025Q4,19869.074,21111.752,20490.414
3,2026Q1,20027.295,21943.264,20985.28
4,2026Q2,20504.098,22609.746,21556.922
5,2026Q3,21176.914,23412.895,22294.904
6,2026Q4,21527.154,24108.352,22817.752
7,2027Q1,23124.457,25635.963,24380.209
8,2027Q2,22966.95,25065.387,24016.168
9,2027Q3,22460.889,24765.293,23613.092
10,2027Q4,22048.39,24732.795,23390.592
11,2028Q1,22984.557,26501.684,24743.12
