,Date,Lower Bound,Upper Bound,Point Estimation
0,2025Q2,28328.214056526358,30604.867366295006,29466.540711410682
1,2025Q3,28258.435148215704,31478.10911885827,29868.272133536982
2,2025Q4,28890.68123667728,32833.96043869848,30862.32083768788
3,2026Q1,29899.212410551623,34452.51902440145,32175.86571747654
4,2026Q2,29503.245522506197,35942.5934728229,32722.919497664545
5,2026Q3,29181.371726476875,37067.93011310483,33124.65091979085
6,2026Q4,29565.39300815025,38672.00623973324,34118.69962394174
7,2027Q1,30341.492943784437,40522.99606367637,35432.244503730406
8,2027Q2,29849.221654110795,42109.37491372604,35979.29828391841
9,2027Q3,29363.912941722694,43398.146470366744,36381.02970604472
10,2027Q4,29571.104042489012,45179.05277790221,37375.07841019561
11,2028Q1,30170.166613672074,47207.07996629647,38688.62328998427
