,Date,Lower Bound,Upper Bound,Point Estimation
0,2025Q2,22030.120994634824,26102.124435914866,24066.122715274847
1,2025Q3,21960.348644448834,26620.137716886373,24290.2431806676
2,2025Q4,23048.25248428142,28229.570499361093,25638.911491821254
3,2026Q1,23616.24288631037,29270.625757418373,26443.434321864366
4,2026Q2,22929.557228171896,30275.0986108181,26602.327919494997
5,2026Q3,22972.315402148557,31158.63069381938,27065.473047983967
6,2026Q4,23054.39930875091,32002.837044194966,27528.618176472937
7,2027Q1,23166.483060364848,32817.04354955898,27991.763304961914
8,2027Q2,23302.430932139734,33607.38593476204,28454.90843345089
9,2027Q3,23457.951057028753,34378.15606685096,28918.05356193986
10,2027Q4,23629.90193867315,35132.49544218452,29381.19869042883
11,2028Q1,23815.902122312087,35872.785515523516,29844.343818917805
