,Date,Lower Bound,Upper Bound,Point Estimation
0,2025Q2,24359.851479910994,26778.924451481114,25569.387965696056
1,2025Q3,23937.687512258915,26750.719079083665,25344.203295671286
2,2025Q4,23869.1218215606,26808.36986692385,25338.745844242225
3,2026Q1,25706.15379600913,28688.587548529482,27197.370672269306
4,2026Q2,24521.84190887307,28557.801166951434,26539.821537912252
5,2026Q3,24104.464437556664,28451.117374777987,26277.790906167327
6,2026Q4,24025.00203055304,28475.929346326757,26250.4656884399
7,2027Q1,25852.572652893257,30339.65171176257,28096.112182327914
8,2027Q2,24797.809698930065,30063.91133416918,27430.860516549623
9,2027Q3,24407.08293414237,29921.434061107942,27164.258497625156
10,2027Q4,24334.634207309613,29933.806193317545,27134.220200313575
11,2028Q1,26163.88438827538,31792.628620605858,28978.25650444062
