,Date,Lower Bound,Upper Bound,Point Estimation
0,2025Q2,39840.45472283486,42202.33363439298,41021.39417861392
1,2025Q3,39520.06139370125,42537.167594984225,41028.61449434274
2,2025Q4,38852.90572547323,42218.863118248795,40535.88442186101
3,2026Q1,41485.86526673922,45054.69067507034,43270.27797090478
4,2026Q2,40760.26550328816,45624.14310215506,43192.20430272161
5,2026Q3,40318.95019341943,45846.790646850284,43082.87042013486
6,2026Q4,39542.998508356584,45451.99454751141,42497.49652793399
7,2027Q1,42089.441968661005,48227.06116814389,45158.251568402455
8,2027Q2,41443.23659064248,48600.05516900768,45021.645879825075
9,2027Q3,40999.88875420327,48731.68616913627,44865.78746166977
10,2027Q4,40206.43959886925,48280.42691491702,44243.43325689314
11,2028Q1,42733.34549369367,51016.24304429816,46874.79426899591
