,Date,Lower Bound,Upper Bound,Point Estimation
0,2025Q2,16632.425152133837,18606.276097682014,17619.350624907926
1,2025Q3,17523.452686044704,19173.075501773048,18348.264093908874
2,2025Q4,17524.363586052757,18971.11872446013,18247.741155256444
3,2026Q1,18591.202427624106,19392.823880517542,18992.013154070824
4,2026Q2,18605.401181663274,19313.82252398484,18959.61185282406
5,2026Q3,19319.899817399877,21099.989727247892,20209.944772323885
6,2026Q4,20289.378166418424,22510.631531744388,21400.004849081408
7,2027Q1,20527.63688594842,22406.14384737168,21466.890366660053
8,2027Q2,20514.942816341034,22370.69201195052,21442.81741414578
9,2027Q3,20387.639864268174,22265.066510375986,21326.353187322078
10,2027Q4,20181.389678686384,22400.506244824854,21290.947961755617
11,2028Q1,20660.387022349718,24082.116729321966,22371.251875835842
