,Date,Lower Bound,Upper Bound,Point Estimation
0,2025Q2,27447.248109415374,29254.93194025713,28351.090024836252
1,2025Q3,27945.019707782612,29395.959863425356,28670.489785603982
2,2025Q4,28943.417757886695,30437.687615678875,29690.552686782787
3,2026Q1,29319.342006505405,30607.863486155795,29963.602746330598
4,2026Q2,29155.560648866467,30171.940724205986,29663.750686536227
5,2026Q3,29313.085124636622,31084.575585135965,30198.830354886293
6,2026Q4,30126.085842138364,31724.42610125533,30925.255971696846
7,2027Q1,32055.980720441385,32814.13001575849,32435.05536809994
8,2027Q2,32055.980720441385,32814.13001575849,32435.05536809994
9,2027Q3,32055.980720441385,32814.13001575849,32435.05536809994
10,2027Q4,31947.317784763727,32838.69359667828,32393.005690721002
11,2028Q1,32139.08969008062,35861.66211008176,34000.37590008119
