,Date,Lower Bound,Upper Bound,Point Estimation
0,2025Q2,10985.095370956855,12455.651200644044,11720.37328580045
1,2025Q3,10710.320139752654,12425.5209142733,11567.920527012975
2,2025Q4,12093.244234222018,13891.447350665998,12992.34579244401
3,2026Q1,12715.36618816253,14545.364027620793,13630.365107891665
4,2026Q2,11846.237861437303,14180.157171160205,13013.197516298755
5,2026Q3,11667.495966311193,14165.621751955468,12916.558859133329
6,2026Q4,12859.914454206923,15421.021186922118,14140.467820564521
7,2027Q1,13420.852560986037,16008.919719004372,14714.886139995204
8,2027Q2,12802.787236450444,15692.592911359796,14247.69007390512
9,2027Q3,12714.441992481601,15716.14816667018,14215.295079575892
10,2027Q4,13758.33906612173,16807.09730206235,15282.71818409204
11,2028Q1,14274.779058957009,17345.723737740973,15810.25139834899
