,Date,Lower Bound,Upper Bound,Point Estimation
0,2025Q2,20416.65716304953,24751.85957996581,22584.258371507673
1,2025Q3,19851.49299183246,24540.90628618908,22196.19963901077
2,2025Q4,20801.265525656196,25548.296277977555,23174.780901816874
3,2026Q1,22159.866724650266,26916.628026974664,24538.247375812465
4,2026Q2,20236.28742367871,26757.322242043076,23496.804832860893
5,2026Q3,19713.140243173613,26488.69496095366,23100.917602063633
6,2026Q4,20667.320313363572,27485.22021422276,24076.270263793165
7,2027Q1,22025.867142330855,28850.943277188715,25438.40520975979
8,2027Q2,20318.694709787713,28474.132335839655,24396.413522813684
9,2027Q3,19819.961396592476,28180.638235463146,24000.299816027815
10,2027Q4,20778.016004740974,29173.10214595046,24975.559075345718
11,2028Q1,22137.19314979995,30538.117851452254,26337.6555006261
