,Date,Lower Bound,Upper Bound,Point Estimation
0,2025Q2,32996.39142417185,36295.11733221784,34645.75437819485
1,2025Q3,32505.512391448567,36258.71699641153,34382.114693930045
2,2025Q4,32381.269996874482,36258.18867133496,34319.72933410472
3,2026Q1,34629.065250489955,38541.67573172689,36585.37049110842
4,2026Q2,33149.150399124854,38455.74124845924,35802.44582379205
5,2026Q3,32682.461828889405,38334.45450268667,35508.45816578803
6,2026Q4,32554.71800601854,38304.487556858076,35429.60278143831
7,2027Q1,34797.17939128858,40575.431726496776,37686.30555889268
8,2027Q2,33491.985527542594,40305.07443290179,36898.52998022219
9,2027Q3,33057.34003252597,40146.47937544653,36601.90970398625
10,2027Q4,32937.416533614916,40105.83463074296,36521.62558217893
11,2028Q1,35181.752256702304,42373.35369405714,38777.55297537972
