,Date,Lower Bound,Upper Bound,Point Estimation
0,2025Q2,18388.64,20703.727,19546.184
1,2025Q3,18648.344,20719.879,19684.113
2,2025Q4,18822.238,20912.756,19867.496
3,2026Q1,19802.209,21812.549,20807.379
4,2026Q2,20469.959,21521.377,20995.668
5,2026Q3,20856.342,22118.955,21487.648
6,2026Q4,21624.9,23329.451,22477.176
7,2027Q1,23469.709,26535.436,25002.572
8,2027Q2,24893.412,27295.652,26094.531
9,2027Q3,24911.695,27162.146,26036.922
10,2027Q4,24182.662,26370.332,25276.498
11,2028Q1,24513.266,27477.307,25995.287
