,Date,Lower Bound,Upper Bound,Point Estimation
0,2025Q2,17027.309,19104.033,18065.672
1,2025Q3,17155.2,18931.688,18043.443
2,2025Q4,17177.576,18922.123,18049.85
3,2026Q1,18180.744,19447.104,18813.924
4,2026Q2,18190.555,19364.416,18777.484
5,2026Q3,18600.178,19665.258,19132.719
6,2026Q4,18753.39,20454.592,19603.99
7,2027Q1,20618.357,22817.361,21717.86
8,2027Q2,20456.96,22450.348,21453.654
9,2027Q3,19960.336,21863.934,20912.135
10,2027Q4,19169.633,21315.285,20242.459
11,2028Q1,21006.3,23277.773,22142.037
