,Date,Lower Bound,Upper Bound,Point Estimation
0,2025Q2,13541.213,16696.389,15118.801
1,2025Q3,13052.192,16382.813,14717.503
2,2025Q4,13262.926,16352.425,14807.675
3,2026Q1,15677.648,18307.758,16992.703
4,2026Q2,15754.42,18270.754,17012.588
5,2026Q3,15737.698,18299.236,17018.467
6,2026Q4,15645.109,18393.713,17019.41
7,2027Q1,17126.756,20890.57,19008.664
8,2027Q2,17486.57,19425.994,18456.283
9,2027Q3,18518.326,22882.05,20700.188
10,2027Q4,19467.732,23402.338,21435.035
11,2028Q1,21875.088,25519.646,23697.367
