,Date,Lower Bound,Upper Bound,Point Estimation
0,2025Q2,27922.867,30095.97,29009.42
1,2025Q3,28006.703,29744.076,28875.389
2,2025Q4,28059.488,29662.012,28860.75
3,2026Q1,29159.525,30540.23,29849.879
4,2026Q2,29110.033,30428.684,29769.36
5,2026Q3,29372.371,30480.002,29926.186
6,2026Q4,29681.643,31548.94,30615.291
7,2027Q1,31953.28,34137.926,33045.6
8,2027Q2,31821.385,33987.14,32904.26
9,2027Q3,31358.896,33473.45,32416.172
10,2027Q4,30577.896,32818.176,31698.037
11,2028Q1,32505.846,34919.453,33712.65
